agent,prompt_category,domain,loss,loss_function,mae,rmse,r2,ece_10bin,aic,bic,loocv_rmse,loocv_mae,loocv_r2,loocv_consistency,loocv_calibration,loocv_bias,loocv_n_folds,num_rows,model,params_tying,lr,optimizer,version,experiment,graph_type,temperature,included_domains,seed_used,restart_index,run_timestamp,init_pC1,fit_pC1,init_pC2,fit_pC2,init_w0,fit_w0,init_w1,fit_w1,init_w2,fit_w2,init_b,fit_b,init_m1,fit_m1,init_m2,fit_m2
gpt-5-mini-v_low-r_low,CoT,,0.0168106220662593,huber,0.0727510899305343,0.0895040854811668,0.9054362173061932,0.0147728075583775,-1137.9852680932906,-1127.5810876698852,0.0792703392725547,0.0559418186781749,0.9291393588528613,0.0561631517221401,0.0533388208593775,0.0112067177931781,11,237,noisy_or,3,0.005,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,1,1,2025-08-26T22:39:39.685857+00:00,0.4715025722980499,0.4127791225910187,0.4715025722980499,0.4127791225910187,,,,,,,0.494641900062561,0.1318764984607696,0.4953719675540924,0.8026033639907837,0.4953719675540924,0.8026033639907837
gpt-5-mini-v_low-r_low,numeric,,0.0243266262114048,huber,0.0669620260596275,0.0834147557616233,0.9401661046543056,0.0037254430353641,-1186.2864364849463,-1175.8445197149204,0.0711165381513738,0.055567306153702,0.9577183034064048,0.0443828399886325,0.0066782190041108,-9.387870629627388e-05,11,240,noisy_or,3,0.005,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,3,3,2025-08-26T22:41:55.653015+00:00,0.5055516958236694,0.4398989081382751,0.5055516958236694,0.4398989081382751,,,,,,,0.5037974119186401,0.0663630291819572,0.5437019467353821,0.9107998609542848,0.5437019467353821,0.9107998609542848
gpt-5-mini-v_low-r_low,CoT,,0.0165566802024841,huber,0.0710951313376426,0.0893478542566299,0.90576604929405,0.0115905626665187,-1136.813352829702,-1122.941112265161,0.1034134270573639,0.0690118519430575,0.87940272217119,0.0770175381788994,0.0659132375293098,0.0240867166396657,11,237,noisy_or,4,0.005,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,1,1,2025-08-26T22:47:43.388644+00:00,0.4715025722980499,0.4142360985279083,0.4715025722980499,0.4142360985279083,,,,,,,0.494641900062561,0.1360687017440796,0.4953719675540924,0.8153634071350098,0.5772022008895874,0.7904486656188965
gpt-5-mini-v_low-r_low,numeric,,0.0243652779608964,huber,0.0661646500229835,0.0832942053675651,0.940338917304634,0.0042125033214688,-1184.980609004552,-1171.058053311184,0.0811065857225016,0.0632004009142066,0.9450049717538478,0.0508329378636043,0.0128141905412529,0.0048717375144814,11,240,noisy_or,4,0.005,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,1,1,2025-08-26T22:50:45.575970+00:00,0.4715025722980499,0.4399043917655945,0.4715025722980499,0.4399043917655945,,,,,,,0.494641900062561,0.0679196491837501,0.4953719675540924,0.9181402921676636,0.5772022008895874,0.9000434279441833
gpt-5-mini-v_low-r_low,CoT,,0.0165836196392774,huber,0.070148579776287,0.0889442786574363,0.9066154211390012,0.0074285664261644,-1136.959222994505,-1119.6189222888293,0.1066675275330368,0.0657538777382477,0.8716936646865869,0.083990410121601,0.0657538777382477,0.0246573837006044,11,237,noisy_or,5,0.005,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,1,1,2025-08-26T22:58:21.607014+00:00,0.4715025722980499,0.4184510707855224,0.5583577156066895,0.505792498588562,,,,,,,0.494641900062561,0.1337469518184662,0.4953719675540924,0.8213374018669128,0.5772022008895874,0.7871519923210144
gpt-5-mini-v_low-r_low,numeric,,0.024421803653240204,huber,0.06622166186571121,0.08328233659267426,0.9403559213620987,0.004100103303790093,-1183.0490213644784,-1165.6458267477685,0.08408363010252845,0.06626661972114539,0.94089365612061,0.05175704746169293,0.014821275450063533,0.0027928890468496364,11,240,noisy_or,5,0.005,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,1,1,2025-08-26T23:02:06.369078+00:00,0.4715025722980499,0.44050291180610657,0.5583577156066895,0.45173555612564087,,,,,,,0.49464190006256104,0.06742806732654572,0.4953719675540924,0.9186508655548096,0.5772022008895874,0.8993682265281677
