link,params_tying,loss,rmse,r2,r2_task,mae,aic,bic,loocv_r2,loocv_rmse,agent,domain,version,prompt_category,loss_name,optimizer,spec_hash,short_spec_hash,group_hash,short_group_hash
noisy_or,3,0.015721650794148445,0.08971170336008072,0.9041382442444891,0.9678107444877642,0.07009134441614151,-1151.3539433618776,-1140.9120265918516,0.9459757297953403,0.06978237004756013,gpt-4o,all,2,CoT,huber,lbfgs,d5de95f34341c6066d39d9cd39921edc8a171caa2efcdf7cc9e225fa9d4cec9d,d5de95f34341,89563fd9efa6cfc6e86bddf3eab642a0af4ecb09f0331199e8fa72227a99befd,89563fd9efa6
noisy_or,3,0.013870269991457462,0.08510295301675797,0.8994891419980416,0.9640773259543091,0.07325363904237747,-1137.2466045476197,-1126.9063924326208,0.9362081831143267,0.06955454707301777,o3,all,2,CoT,huber,lbfgs,84a102d0a83c02692e2cc9ddc1e0bb81f2247a8aa801dfe09143d1c8d1b07cb0,84a102d0a83c,02a936c68e9c5eac7b1add3c4d9a4e2d8dfe739c1bd82f51c0b4941f45a31ec6,02a936c68e9c
noisy_or,3,0.012179804034531116,0.09067817032337189,0.8802450821468095,0.9663515137396349,0.07692978531122208,-1146.2105511980508,-1135.7686344280248,0.9311288999539918,0.0689043780713059,gpt-5-v_low-r_low,all,2,CoT,huber,lbfgs,911f334ec0c1ed6f6dec26c8769328785756bfa6f43b309bd85bde3d4a612ea8,911f334ec0c1,8945773e8c15de428af0b79bd4ad9f872960d781d6eb06f1a8ad6902f2695dae,8945773e8c15
noisy_or,3,0.017775261774659157,0.08865705877542496,0.9109538197343872,0.9595535442220918,0.06850002706050873,-1152.1842631248187,-1141.7548724690241,0.9243469646946332,0.08431596627091581,gpt-4.1-mini,all,2,CoT,huber,lbfgs,4da6fd22c17ab3318d2451659a8b638800e7df66b04a1f54ffc9b967b1718c3e,4da6fd22c17a,c3bdccd4ae516ecee7e300626a3e4ffbbc8eeda3024ea6536363a8ff64944d11,c3bdccd4ae51
noisy_or,3,0.008274951949715614,0.1145392432808876,0.6165833324139565,0.9686537860168943,0.09079934656620026,-1034.0821270897648,-1023.6402103197388,0.9222420625519986,0.045679404179169526,gpt-5-nano-v_low-r_minimal,all,2,CoT,huber,lbfgs,e5d42c4b11d535f1218557be397299eca40cc8b4f4b878f1ccf4e0d6ff96bbb4,e5d42c4b11d5,ea117cb2dc3812f0a914a4299d58b15d85e1678676ac4228354ed8b8de0f3987,ea117cb2dc38
noisy_or,3,0.015406369231641293,0.08951473981142044,0.8959238982444393,0.955246463984632,0.07582112401723862,-1137.9288173058858,-1127.5246368824803,0.9151569433382404,0.08302291526001293,gpt-5-mini-v_low-r_medium,all,2,CoT,huber,lbfgs,3f625673fe7354b9e35dd9545d982e268c8a553282edc678d21ceebcdffec097,3f625673fe73,45d7452842c2e033fb88e2f8efaa2e19c545109d7b00ed6ba998bee0f34543f8,45d7452842c2
noisy_or,4,0.008061316795647144,0.08841808885335922,0.8354823626747443,0.9760523145511554,0.06372014433145523,-1156.325788133216,-1142.4032324398481,0.9129279206638354,0.06640240639757403,gpt-4,all,2,CoT,huber,lbfgs,9c825cb4597a551c4ab2a42e1670c00aa3f4a10190abad1249a6785c8bf74f29,9c825cb4597a,e57d26f9a8bf2eb515ccb546f2c0ba88b23de67952a1f2430334878a9d83f475,e57d26f9a8bf
noisy_or,3,0.010279242880642414,0.12975195050239563,0.6461808568698084,0.9443310220917401,0.0979333370923996,-970.1384978118925,-959.709107156098,0.9117101577591377,0.059447789121820395,claude-3-sonnet-20240229,all,2,CoT,huber,lbfgs,449f135a02b92ffabe837132282c8086d32d2f90301587f4b236b072ceeb588b,449f135a02b9,bbf2573ab449338a7ccf8f38bcf92febec8cbb1ceabebf2766972c54104402cc,bbf2573ab449
noisy_or,3,0.006941803265362978,0.07838384807109833,0.8504601903403477,0.9465961465440001,0.06543362885713577,-1216.1459571763955,-1205.7040404063696,0.9078016629468024,0.06423948655810147,gpt-5-v_low-r_minimal,all,2,CoT,huber,lbfgs,f81ed7c2b87d3c358313eef8cfbc59c2ff755f94be5950147b0aa897142c099c,f81ed7c2b87d,fe6ef20c978ab555a21aa6ab416a24204416ad852dc6c1392138726e595b73c3,fe6ef20c978a
noisy_or,3,0.014771686866879463,0.10306725651025772,0.8425337244590765,0.942040003059011,0.08060510456562042,-1062.015554986763,-1051.6367984443305,0.8982390758131977,0.08514063608913698,gpt-5-mini-v_low-r_minimal,all,2,CoT,huber,lbfgs,fc86278ffa0ecf6fb7d7ee474b920822cb694b5346a603ab1083c3c5204ae960,fc86278ffa0e,417dfda29087a3d1e53e0a9620c66156b707a73eff7436deaeb5a19a31ec1074,417dfda29087
noisy_or,3,0.015533341094851494,0.09337674826383591,0.8834547724805561,0.9393105112229782,0.07851589471101761,-1122.6497529974113,-1112.2329409763968,0.8864936297415679,0.09488799975921489,gpt-5-mini-v_low-r_low,all,2,CoT,huber,lbfgs,d94f4c3cf0af0418d4391024ebe60c9788561b0db81fce09d58b39eba5c92980,d94f4c3cf0af,ca455260e9cc64c8661c64621c7e62e46bdfeb85b8b2ea177affd1bf0f175ad9,ca455260e9cc
noisy_or,3,0.009263291954994202,0.0944620743393898,0.8117592796519553,0.9392475777476624,0.07679704576730728,-239.39391257485124,-233.54018141910697,0.8835150448207331,0.07800023387852464,gpt-5-v_low-r_medium,all,2,CoT,huber,lbfgs,448eafb952f3751092626e12ba6c3883cce8ed439c6868b60121b18658231f20,448eafb952f3,885cdbabc36ef4ecbc8186bd31277fd975d853ab66c5a6150947b6ee5083e7cf,885cdbabc36e
noisy_or,4,0.018839197233319283,0.13567204773426056,0.5950041126905179,0.9120033055362295,0.10662709921598434,-950.8070755057776,-936.8845198124096,0.804913215494006,0.08427403118963951,claude-3-5-haiku-20241022,all,2,CoT,huber,lbfgs,1cbb8d4bb3e55edc4d385d1acb356833132e0f8b57864110079b0b16539dc680,1cbb8d4bb3e5,589f9e72509bb9be68abbe007b96762f056560e4492672423d893c86b9c427e2,589f9e72509b
noisy_or,3,0.024532612413167953,0.16214188933372498,0.5635308354928885,0.845297241976078,0.1240471825003624,-867.2560709093057,-856.8141541392797,0.6920823247718648,0.12230444389188386,claude-3-haiku-20240307,all,2,CoT,huber,lbfgs,73bf3c7bfb5bff7226f31a56f7bce8306bd4d3c768d1452b124150e8142513bf,73bf3c7bfb5b,8d9a9a1bc643cfeee37b61ccc30db189eb8aebf199cf549a85dd8e1e21d14306,8d9a9a1bc643
