agent,prompt_category,domain,loss,loss_function,mae,rmse,r2,rmse_task,r2_task,ece_10bin,aic,bic,loocv_rmse,loocv_mae,loocv_r2,loocv_consistency,loocv_calibration,loocv_bias,loocv_n_folds,num_rows,model,params_tying,lr,optimizer,version,experiment,graph_type,temperature,included_domains,seed_used,restart_index,run_timestamp,init_pC1,fit_pC1,init_pC2,fit_pC2,init_w0,fit_w0,init_w1,fit_w1,init_w2,fit_w2,init_b,fit_b,init_m1,fit_m1,init_m2,fit_m2
gpt-5-v_low-r_low,numeric,,0.025688512250781,huber,0.0841101631522178,0.0949511677026748,0.9180341275491852,0.0647842324979387,0.963604151449647,0.0375295180827379,-2254.216851830039,-2241.6954935183335,0.0988818637187221,0.0822312514800014,0.9152096439644368,0.054914881885703,0.066055627383969,0.0206473023331526,11,480,noisy_or,3,0.1,lbfgs,1,rw17_overloaded_d,collider,0.0,econ_ovl_d=ctl;econ_ovl_d=soc;soc_ovl_d=ctl;soc_ovl_d=econ;weath_ovl_d=ctl;weath_ovl_d=econ,3,3,2025-08-31T13:44:58.223429+00:00,0.5055516958236694,0.4082319438457489,0.5055516958236694,0.4082319438457489,,,,,,,0.5037974119186401,0.0466153882443904,0.5437019467353821,0.8548009395599365,0.5437019467353821,0.8548009395599365
gpt-5-v_low-r_low,CoT,,0.0131675116717815,huber,0.0762185156345367,0.0891276150941848,0.8875649436221602,0.0575010420490975,0.9552635846582976,0.02697598563117,-1217.3491386975104,-1206.7489702313278,0.0843392800526896,0.0769439567752651,0.9037569004040952,0.0345360923610669,0.0503302792491335,0.0136657267439337,11,253,noisy_or,3,0.1,lbfgs,1,rw17_overloaded_d,collider,0.0,econ_ovl_d=ctl;econ_ovl_d=soc;soc_ovl_d=econ;weath_ovl_d=econ,1,1,2025-08-31T13:56:01.353271+00:00,0.4715025722980499,0.4255721271038055,0.4715025722980499,0.4255721271038055,,,,,,,0.494641900062561,0.1659709811210632,0.4953719675540924,0.7510149478912354,0.4953719675540924,0.7510149478912354
gpt-5-v_low-r_low,numeric-conf,,0.0156172895804047,huber,0.0786713659763336,0.0903728008270263,0.897248861258679,0.0585161857107396,0.9586825204577056,0.0324304293841123,-2301.659404347211,-2289.1380460355053,0.0846251981138994,0.0715686280619014,0.9135865829497272,0.0451592253382843,0.0661759641856858,0.0169877975817882,11,480,noisy_or,3,0.1,lbfgs,1,rw17_overloaded_d,collider,0.0,econ_ovl_d=ctl;econ_ovl_d=soc;soc_ovl_d=ctl;soc_ovl_d=econ;weath_ovl_d=ctl;weath_ovl_d=econ,1,1,2025-08-31T14:08:45.615728+00:00,0.4715025722980499,0.4120630323886871,0.4715025722980499,0.4120630323886871,,,,,,,0.494641900062561,0.150718867778778,0.4953719675540924,0.7821018695831299,0.4953719675540924,0.7821018695831299
gpt-5-v_low-r_low,numeric,,0.0255851820111274,huber,0.0781123265624046,0.0912113413214683,0.9243637305477108,0.0596030122311147,0.9691929842450584,0.0227741802111268,-2290.7930349704457,-2274.0978905548377,0.1126398985791915,0.088662964006265,0.889973404843661,0.0694739200387765,0.0640964240648529,0.0216430426276091,11,480,noisy_or,4,0.1,lbfgs,1,rw17_overloaded_d,collider,0.0,econ_ovl_d=ctl;econ_ovl_d=soc;soc_ovl_d=ctl;soc_ovl_d=econ;weath_ovl_d=ctl;weath_ovl_d=econ,1,1,2025-08-31T14:27:34.556291+00:00,0.4715025722980499,0.4135089516639709,0.4715025722980499,0.4135089516639709,,,,,,,0.494641900062561,0.0584866553544998,0.4953719675540924,0.9137395620346068,0.5772022008895874,0.8013167977333069
gpt-5-v_low-r_low,CoT,,0.0132533460855484,huber,0.0724265575408935,0.086713433265686,0.8935734624540767,0.0530321791611262,0.9619470178032664,0.0145620061121439,-1229.244106025914,-1215.110548071004,0.1141407931577551,0.0920895572946621,0.8237246462918979,0.0674361483179056,0.0345392281510335,0.0267555725475847,11,253,noisy_or,4,0.1,lbfgs,1,rw17_overloaded_d,collider,0.0,econ_ovl_d=ctl;econ_ovl_d=soc;soc_ovl_d=econ;weath_ovl_d=econ,1,1,2025-08-31T14:41:14.824000+00:00,0.4715025722980499,0.4327429234981537,0.4715025722980499,0.4327429234981537,,,,,,,0.494641900062561,0.1893517971038818,0.4953719675540924,0.8012388944625854,0.5772022008895874,0.6969560384750366
gpt-5-v_low-r_low,numeric-conf,,0.015554343350231647,huber,0.07585461437702179,0.0885891318321228,0.9012648009876008,0.055964003221493384,0.9622080459859453,0.018638987094163895,-2318.7962492240167,-2302.1011048084088,0.11026168345326512,0.08544328881032538,0.8532996939726185,0.06969277749683507,0.06772076601331885,0.028355275735710627,11,480,noisy_or,4,0.1,lbfgs,1,rw17_overloaded_d,collider,0.0,econ_ovl_d=ctl;econ_ovl_d=soc;soc_ovl_d=ctl;soc_ovl_d=econ;weath_ovl_d=ctl;weath_ovl_d=econ,1,1,2025-08-31T14:58:31.321690+00:00,0.4715025722980499,0.41774147748947144,0.4715025722980499,0.41774147748947144,,,,,,,0.49464190006256104,0.1678534746170044,0.4953719675540924,0.826129674911499,0.5772022008895874,0.7388200163841248
