agent,prompt_category,domain,loss,loss_function,mae,rmse,r2,rmse_task,r2_task,ece_10bin,aic,bic,loocv_rmse,loocv_mae,loocv_r2,loocv_consistency,loocv_calibration,loocv_bias,loocv_n_folds,num_rows,model,params_tying,lr,optimizer,version,experiment,graph_type,temperature,included_domains,seed_used,restart_index,run_timestamp,init_pC1,fit_pC1,init_pC2,fit_pC2,init_w0,fit_w0,init_w1,fit_w1,init_w2,fit_w2,init_b,fit_b,init_m1,fit_m1,init_m2,fit_m2
human-109,single_numeric_response,,0.0035749361850321,huber,0.021669790148735,0.0265362039208412,0.9779720968615194,0.0279752580406145,0.9781494174586752,1.7195940017700195e-05,-23.03396218260144,-24.87507909924177,0.1290333042607823,0.1112373288472493,0.5351439662599637,0.0653899860787914,0.0679053346316019,-0.0679053346316019,3,4,noisy_or,3,0.1,lbfgs,1,rw17_overloaded_d,collider,0.0,weather,3,3,2025-08-31T13:46:41.930819+00:00,0.5055516958236694,0.6694414615631104,0.5055516958236694,0.6694414615631104,,,,,,,0.5037974119186401,0.4355779588222503,0.5437019467353821,0.8063957691192627,0.5437019467353821,0.8063957691192627
human-109,single_numeric_response,,0.0034011099487543106,huber,0.021675802767276764,0.026536131277680397,0.9779722188588982,0.027969047270421724,0.9781591184510462,1.395493745803833e-05,-21.033984335906865,-23.488806891427302,0.12725602135871392,0.11010735392570493,0.5478614712317509,0.06380020049756113,0.06678519447644549,-0.0667851944764455,3,4,noisy_or,4,0.1,lbfgs,1,rw17_overloaded_d,collider,0.0,weather,3,3,2025-08-31T14:29:32.222204+00:00,0.5055516958236694,0.6248100399971008,0.5055516958236694,0.6248100399971008,,,,,,,0.5037974119186401,0.45084723830223083,0.5437019467353821,0.7645312547683716,0.4951467514038086,0.4431956112384796
