agent,prompt_category,domain,loss,loss_function,mae,rmse,r2,ece_10bin,aic,bic,loocv_rmse,loocv_mae,loocv_r2,loocv_consistency,loocv_calibration,loocv_bias,loocv_n_folds,num_rows,model,params_tying,lr,optimizer,version,experiment,graph_type,temperature,included_domains,seed_used,restart_index,run_timestamp,init_pC1,fit_pC1,init_pC2,fit_pC2,init_w0,fit_w0,init_w1,fit_w1,init_w2,fit_w2,init_b,fit_b,init_m1,fit_m1,init_m2,fit_m2
gpt-5-nano-v_low-r_medium,CoT,,0.0140466596931219,huber,0.0314137116074562,0.0530624724924564,0.917369738922468,0.0243023037910461,-40.9805650233458,-40.74224039830629,0.1219886626404789,0.0897512748837471,0.5380292180733387,0.0826192620976164,0.0564517500996589,-0.0564517500996589,4,8,noisy_or,3,0.005,lbfgs,1,random_abstract,collider,0.0,abs_alnum_10,4,4,2025-08-26T22:40:36.659557+00:00,0.5121279954910278,0.487172394990921,0.5121279954910278,0.487172394990921,,,,,,,0.4838784635066986,0.0818099528551101,0.4927954077720642,0.9999983310699464,0.4927954077720642,0.9999983310699464
gpt-5-nano-v_low-r_medium,numeric,,0.0270563401281833,huber,0.0745297521352768,0.099061794579029,0.9192388611736544,0.0180343870073556,-1103.765464159689,-1093.323547389663,0.0594511913223197,0.0502530027564727,0.9714183508571094,0.0317660174337451,0.0261601968380538,0.0176055769622325,11,240,noisy_or,3,0.005,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,3,3,2025-08-26T22:43:24.373010+00:00,0.5055516958236694,0.4502334892749786,0.5055516958236694,0.4502334892749786,,,,,,,0.5037974119186401,0.0547306723892688,0.5437019467353821,0.913043975830078,0.5437019467353821,0.913043975830078
gpt-5-nano-v_low-r_medium,numeric-conf,,0.0201232377439737,huber,0.0736092627048492,0.0933196619153022,0.9113842457524756,0.0068670127494065,-1127.6843024928298,-1117.2549118370353,0.0458194639948138,0.039647620229586,0.9786079746591662,0.0229671393713401,0.0074528661291432,0.0017610086993109,11,239,noisy_or,3,0.005,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,3,3,2025-08-26T22:46:16.206505+00:00,0.5055516958236694,0.4495086371898651,0.5055516958236694,0.4495086371898651,,,,,,,0.5037974119186401,0.067352794110775,0.5437019467353821,0.8297659158706665,0.5437019467353821,0.8297659158706665
gpt-5-nano-v_low-r_medium,CoT,,0.0140715911984443,huber,0.0250336453318595,0.0431567206978797,0.9453410802609572,3.878772258758545e-05,-42.28667344960331,-41.96890728288397,0.0140837659460546,0.0100881472229957,0.993842375996174,0.0098276013772645,0.0100881472229957,0.0046003636717796,4,8,noisy_or,4,0.005,lbfgs,1,random_abstract,collider,0.0,abs_alnum_10,4,4,2025-08-26T22:48:58.441409+00:00,0.5121279954910278,0.4999399185180664,0.5121279954910278,0.4999399185180664,,,,,,,0.4838784635066986,0.0315116085112094,0.4927954077720642,0.4355929791927337,0.4725507199764251,0.9987251162528992
gpt-5-nano-v_low-r_medium,numeric,,0.0271784048527479,huber,0.0732245370745658,0.0986741483211517,0.9198696975196908,0.0130654260516166,-1103.647497133849,-1089.724941440481,0.0705873580760858,0.0571639916481393,0.9597078895908044,0.0414107857811586,0.0269025913151828,0.0211875638094815,11,240,noisy_or,4,0.005,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,1,1,2025-08-26T22:52:38.126185+00:00,0.4715025722980499,0.4502719640731811,0.4715025722980499,0.4502719640731811,,,,,,,0.494641900062561,0.057349506765604,0.4953719675540924,0.9265932440757751,0.5772022008895874,0.8919858932495117
gpt-5-nano-v_low-r_medium,numeric-conf,,0.0203329473733901,huber,0.0735581368207931,0.0933093726634979,0.9114037761872272,0.0059441870164172,-1125.7369826104562,-1111.8311284027302,0.0712757360981164,0.0550983714691892,0.9482351073299096,0.0452150419414996,0.0195479693388122,0.0153326083670334,11,239,noisy_or,4,0.005,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,3,3,2025-08-26T22:56:23.289242+00:00,0.5055516958236694,0.4498118758201599,0.5055516958236694,0.4498118758201599,,,,,,,0.5037974119186401,0.0680733546614646,0.5437019467353821,0.8325526118278503,0.4951467514038086,0.8266497850418091
gpt-5-nano-v_low-r_medium,CoT,,0.0140699548646807,huber,0.0250304266810417,0.04315672442317,0.9453410700116256,3.1188130378723145e-05,-40.28667194948869,-39.88946424108951,0.1677104684818328,0.1112210616469383,0.1268358172015264,0.1255256017094671,0.0771321031451225,-0.0771321031451225,4,8,noisy_or,5,0.005,lbfgs,1,random_abstract,collider,0.0,abs_alnum_10,4,4,2025-08-26T22:59:55.617672+00:00,0.5121279954910278,0.4999570250511169,0.4847850501537323,0.5556866526603699,,,,,,,0.4838784635066986,0.0394270755350589,0.4927954077720642,0.5491060614585876,0.4725507199764251,0.9990776777267456
gpt-5-nano-v_low-r_medium,numeric,,0.027221392840147,huber,0.0724298804998397,0.0977996587753295,0.9212836977191752,0.0065519964322447,-1105.9204120307577,-1088.5172174140478,0.0722283940673729,0.0580808803484295,0.9578126663308408,0.0429366073124451,0.0234299796684222,0.0233651853014122,11,240,noisy_or,5,0.005,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,1,1,2025-08-26T23:04:19.840289+00:00,0.4715025722980499,0.4559357166290283,0.5583577156066895,0.5695692896842957,,,,,,,0.494641900062561,0.0522934421896934,0.4953719675540924,0.9310117959976196,0.5772022008895874,0.8856601715087891
gpt-5-nano-v_low-r_medium,numeric-conf,,0.0203310064971447,huber,0.07368455827236176,0.09329826384782791,0.9114248698688351,0.005258328339794191,-1123.7938923739807,-1106.4115746143232,0.07276365274267288,0.05708927248348832,0.946051312831436,0.04511501000512255,0.020789564288447804,0.013816205244651743,11,239,noisy_or,5,0.005,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,3,3,2025-08-26T23:09:21.475209+00:00,0.5055516958236694,0.4504939317703247,0.5004981160163879,0.4630732536315918,,,,,,,0.5037974119186401,0.06767018884420395,0.5437019467353821,0.833418071269989,0.4951467514038086,0.826026439666748
