agent,prompt_category,domain,loss,loss_function,mae,rmse,r2,ece_10bin,aic,bic,loocv_rmse,loocv_mae,loocv_r2,loocv_consistency,loocv_calibration,loocv_bias,loocv_n_folds,num_rows,model,params_tying,lr,optimizer,version,experiment,graph_type,temperature,included_domains,seed_used,restart_index,run_timestamp,init_pC1,fit_pC1,init_pC2,fit_pC2,init_w0,fit_w0,init_w1,fit_w1,init_w2,fit_w2,init_b,fit_b,init_m1,fit_m1,init_m2,fit_m2
gpt-4o,numeric-conf,abstract_abc,0.0504302605986595,huber,0.1336302459239959,0.1914488226175308,0.731862962864126,0.0678426604717969,-258.5015541893896,-251.35547428536796,0.1687517325380917,0.1321597383103587,0.7704756159608643,0.1049330777416975,0.0757772725414146,-0.0005787136202508,11,80,logistic,3,0.1,lbfgs,2,abstract_reasoning,collider,0.0,abstract_abc,130,7,2025-08-18T22:11:24.973073+00:00,0.4842737317085266,0.4562143087387085,0.4842737317085266,0.4562143087387085,0.0927602797746658,-1.394909381866455,0.4338200390338897,2.991598606109619,0.4338200390338897,2.991598606109619,,,,,,
gpt-4o,numeric-conf,abstract_quintuplets,0.0460553877055645,huber,0.1165239959955215,0.1702253818511963,0.7714969967113106,0.0707639399915933,-277.30111601327553,-270.1550361092539,0.1391946039441208,0.1096235592256893,0.8362247398117186,0.08577769541001,0.0692742545496333,0.0116648730906573,11,80,logistic,3,0.1,lbfgs,2,abstract_reasoning,collider,0.0,abstract_quintuplets,130,7,2025-08-18T22:11:32.591349+00:00,0.4842737317085266,0.4678589403629303,0.4842737317085266,0.4678589403629303,0.0927602797746658,-1.4832890033721924,0.4338200390338897,2.9884307384490967,0.4338200390338897,2.9884307384490967,,,,,,
gpt-4o,numeric-conf,abstract_triplets,0.0454853437840938,huber,0.1230153441429138,0.194184347987175,0.6877220797524475,0.0545049283653497,-256.2315775915141,-249.08549768749248,0.1188845080131202,0.0980395126071843,0.863184045544489,0.0672441834902275,0.0470329589464447,0.0148247297514568,11,80,logistic,3,0.1,lbfgs,2,abstract_reasoning,collider,0.0,abstract_triplets,130,7,2025-08-18T22:11:40.125071+00:00,0.4842737317085266,0.4454549849033355,0.4842737317085266,0.4454549849033355,0.0927602797746658,-1.668076515197754,0.4338200390338897,2.981011390686035,0.4338200390338897,2.981011390686035,,,,,,
gpt-4o,numeric-conf,abstract_triplets_symb,0.0485416129231452,huber,0.132548987865448,0.1870567798614502,0.7342145884917353,0.0761743649840355,-262.214897854291,-255.06881795026936,0.1470116612008453,0.1165586554191329,0.8171296010480269,0.0895907828736637,0.0651674968275156,0.0026183175769719,11,80,logistic,3,0.1,lbfgs,2,abstract_reasoning,collider,0.0,abstract_triplets_symb,130,7,2025-08-18T22:11:47.674800+00:00,0.4842737317085266,0.4644399881362915,0.4842737317085266,0.4644399881362915,0.0927602797746658,-1.5037726163864136,0.4338200390338897,2.9907751083374023,0.4338200390338897,2.9907751083374023,,,,,,
gpt-4o,numeric-conf,abstract_xyz,0.0508383512496948,huber,0.1291455924510955,0.1789935380220413,0.7685065754175793,0.0749782666563987,-269.2648868675725,-262.11880696355087,0.1671248981038081,0.1357190772891044,0.7856379603489358,0.0975246821374073,0.0796766431494192,0.0031813316724517,11,80,logistic,3,0.1,lbfgs,2,abstract_reasoning,collider,0.0,abstract_xyz,130,7,2025-08-18T22:11:55.192695+00:00,0.4842737317085266,0.4532002508640289,0.4842737317085266,0.4532002508640289,0.0927602797746658,-1.296898365020752,0.4338200390338897,2.9931156635284424,0.4338200390338897,2.9931156635284424,,,,,,
gpt-4o,CoT,abstract_abc,0.0412458069622516,huber,0.1039737835526466,0.13494972884655,0.8401103915642948,0.0598017107695341,-314.45648052820536,-307.3104006241837,0.165699610294163,0.1388324931263923,0.7728688005436474,0.0904538540027329,0.0869984996589747,0.0026934473351998,11,80,logistic,3,0.1,lbfgs,2,abstract_reasoning,collider,0.0,abstract_abc,130,7,2025-08-18T22:12:02.820752+00:00,0.4842737317085266,0.4207768142223358,0.4842737317085266,0.4207768142223358,0.0927602797746658,-1.4624841213226318,0.4338200390338897,2.991492748260498,0.4338200390338897,2.991492748260498,,,,,,
gpt-4o,CoT,abstract_quintuplets,0.0367573574185371,huber,0.0877565890550613,0.1105961352586746,0.8831682833626442,0.0517784461379051,-346.29922771896526,-339.1531478149436,0.1335634430371596,0.1171311974525451,0.8401153730861489,0.0641831434200091,0.0480158377777446,0.0047385828061537,11,80,logistic,3,0.1,lbfgs,2,abstract_reasoning,collider,0.0,abstract_quintuplets,130,7,2025-08-18T22:12:10.402438+00:00,0.4842737317085266,0.426998883485794,0.4842737317085266,0.426998883485794,0.0927602797746658,-1.4772521257400513,0.4338200390338897,2.9907805919647217,0.4338200390338897,2.9907805919647217,,,,,,
gpt-4o,CoT,abstract_triplets,0.0369130745530128,huber,0.0939012840390205,0.1165818572044372,0.8703846878808814,0.0544284775853157,-337.8658566138928,-330.71977670987116,0.1448805263636458,0.124591897834431,0.8126631191920013,0.0739406918646408,0.047531766241247,0.0020130059935829,11,80,logistic,3,0.1,lbfgs,2,abstract_reasoning,collider,0.0,abstract_triplets,130,7,2025-08-18T22:12:18.086366+00:00,0.4842737317085266,0.4274844527244568,0.4842737317085266,0.4274844527244568,0.0927602797746658,-1.4742610454559326,0.4338200390338897,2.9901113510131836,0.4338200390338897,2.9901113510131836,,,,,,
gpt-4o,CoT,abstract_triplets_symb,0.0389415137469768,huber,0.1023990735411644,0.1444688290357589,0.8081675989442904,0.0486315075308084,-303.55064049607563,-296.404560592054,0.1463024815160323,0.1227937199039892,0.8046723816279819,0.079536899926321,0.0469733315977183,-0.0035279777104204,11,80,logistic,3,0.1,lbfgs,2,abstract_reasoning,collider,0.0,abstract_triplets_symb,130,7,2025-08-18T22:12:25.738206+00:00,0.4842737317085266,0.4282566010951996,0.4842737317085266,0.4282566010951996,0.0927602797746658,-1.5225646495819092,0.4338200390338897,2.9873337745666504,0.4338200390338897,2.9873337745666504,,,,,,
gpt-4o,CoT,abstract_xyz,0.0435486286878585,huber,0.1106803640723228,0.1354930251836776,0.8435901825289829,0.1083442065864801,-313.8136232790287,-306.6675433750071,0.1749103405642332,0.146105085787448,0.7593712522480494,0.0961609647587757,0.0958352684297344,-0.0009070673449473,11,80,logistic,3,0.1,lbfgs,2,abstract_reasoning,collider,0.0,abstract_xyz,130,7,2025-08-18T22:12:33.356129+00:00,0.4842737317085266,0.3934461176395416,0.4842737317085266,0.3934461176395416,0.0927602797746658,-1.5278503894805908,0.4338200390338897,2.9931516647338867,0.4338200390338897,2.9931516647338867,,,,,,
gpt-4o,numeric,abstract_abc,0.0690236687660217,huber,0.226709634065628,0.3078056573867798,0.4385521853411639,0.0875553354620933,-180.52587180138227,-170.99776526268676,0.2670930021520942,0.2079863101243972,0.3985338329793114,0.1675719743855058,0.1089998578483408,-0.030649411407384,11,80,logistic,4,0.1,lbfgs,2,abstract_reasoning,collider,0.0,abstract_abc,132,9,2025-08-18T22:12:40.935009+00:00,0.5072219967842102,0.4556506276130676,0.5072219967842102,0.4556506276130676,0.3679895401000976,-1.3912336826324463,0.3324188590049743,1.9155688285827637,0.6316268444061279,2.9961493015289307,,,,,,
o3,numeric,abstract_abc,0.0436057597398757,huber,0.0837637409567833,0.1100679114460945,0.9006208002024596,0.0730933345854282,-345.0652368071065,-335.537130268411,0.1451604910655126,0.1089591481468894,0.8313926184330928,0.0959138790868401,0.0860059364275498,-0.0052897913889451,11,80,logistic,4,0.1,lbfgs,2,abstract_reasoning,collider,0.0,abstract_abc,132,9,2025-08-18T22:12:48.754028+00:00,0.5072219967842102,0.4793056547641754,0.5072219967842102,0.4793056547641754,0.3679895401000976,-1.3012861013412476,0.3324188590049743,2.996647357940674,0.6316268444061279,2.989732265472412,,,,,,
gpt-4o,numeric,abstract_quintuplets,0.0646945834159851,huber,0.1873473227024078,0.2770591378211975,0.5271652722276805,0.0942520976066589,-197.36389610281947,-187.83578956412396,0.2286806158816827,0.185530232434923,0.5664120795763177,0.133691274706576,0.1149420446970246,-0.0253533212976022,11,80,logistic,4,0.1,lbfgs,2,abstract_reasoning,collider,0.0,abstract_quintuplets,132,9,2025-08-18T22:12:56.350636+00:00,0.5072219967842102,0.4481863379478454,0.5072219967842102,0.4481863379478454,0.3679895401000976,-1.4331419467926023,0.3324188590049743,2.505989789962769,0.6316268444061279,2.99379563331604,,,,,,
o3,numeric,abstract_quintuplets,0.0428601130843162,huber,0.0862377882003784,0.1106061786413192,0.8959194974997094,0.0743801690638065,-344.28469275243026,-334.75658621373475,0.1420922496007658,0.1118368991125713,0.8303867368531663,0.0876511003552772,0.0923140905932946,0.0105818859826434,11,80,logistic,4,0.1,lbfgs,2,abstract_reasoning,collider,0.0,abstract_quintuplets,132,9,2025-08-18T22:13:04.128251+00:00,0.5072219967842102,0.4697383046150207,0.5072219967842102,0.4697383046150207,0.3679895401000976,-1.2790248394012451,0.3324188590049743,2.9954705238342285,0.6316268444061279,2.9681951999664307,,,,,,
gpt-4o,numeric,abstract_triplets,0.0640776976943016,huber,0.1718638241291046,0.2615513801574707,0.5773953539339769,0.0960683032870292,-206.57992918051815,-197.05182264182264,0.2218325593867812,0.1815719536759636,0.6135093346599679,0.1274413984636999,0.0982892472635616,-0.0213421921838413,11,80,logistic,4,0.1,lbfgs,2,abstract_reasoning,collider,0.0,abstract_triplets,132,9,2025-08-18T22:13:11.814144+00:00,0.5072219967842102,0.4393901228904724,0.5072219967842102,0.4393901228904724,0.3679895401000976,-1.4396193027496338,0.3324188590049743,2.9141933917999268,0.6316268444061279,2.9965877532958984,,,,,,
o3,numeric,abstract_triplets,0.0399908050894737,huber,0.0932851955294609,0.1175351813435554,0.8744993384075994,0.0820826511830091,-334.5628177022179,-325.0347111635224,0.1473757963250015,0.1223157157139344,0.8061953921417928,0.082210042159193,0.0876677667552774,0.0096167688478123,11,80,logistic,4,0.1,lbfgs,2,abstract_reasoning,collider,0.0,abstract_triplets,132,9,2025-08-18T22:13:19.591441+00:00,0.5072219967842102,0.4665562808513641,0.5072219967842102,0.4665562808513641,0.3679895401000976,-1.3811172246932983,0.3324188590049743,2.994163751602173,0.6316268444061279,2.9681217670440674,,,,,,
gpt-4o,numeric,abstract_triplets_symb,0.0604799762368202,huber,0.1565669327974319,0.2434554994106292,0.6202885622004184,0.084487722069025,-218.05137925915523,-208.52327272045972,0.1805961759205987,0.1345200017094612,0.7358050256325085,0.1204962567768409,0.0854184715585275,-0.0279029086232185,11,80,logistic,4,0.1,lbfgs,2,abstract_reasoning,collider,0.0,abstract_triplets_symb,132,9,2025-08-18T22:13:27.271651+00:00,0.5072219967842102,0.4717278480529785,0.5072219967842102,0.4717278480529785,0.3679895401000976,-1.480194091796875,0.3324188590049743,2.8400707244873047,0.6316268444061279,2.9942240715026855,,,,,,
o3,numeric,abstract_triplets_symb,0.0450365729629993,huber,0.0984499305486679,0.1178256645798683,0.8837040282142665,0.064644718915224,-334.1678657788141,-324.63975924011856,0.1528261985204974,0.1241084318675778,0.8099052353680963,0.089179280629512,0.0877057641338218,0.0160623643750494,11,80,logistic,4,0.1,lbfgs,2,abstract_reasoning,collider,0.0,abstract_triplets_symb,132,9,2025-08-18T22:13:35.149051+00:00,0.5072219967842102,0.4515353739261627,0.5072219967842102,0.4515353739261627,0.3679895401000976,-1.4198954105377195,0.3324188590049743,2.995914936065674,0.6316268444061279,2.980191230773926,,,,,,
gpt-4o,numeric,abstract_xyz,0.0688028484582901,huber,0.188040092587471,0.2601074576377868,0.598983366824474,0.1055643297731876,-207.46566759470613,-197.93756105601065,0.2169602038771649,0.1601147377355532,0.654480115986385,0.1464069698692516,0.0569237961687825,-0.039771074259823,11,80,logistic,4,0.1,lbfgs,2,abstract_reasoning,collider,0.0,abstract_xyz,132,9,2025-08-18T22:13:42.781762+00:00,0.5072219967842102,0.3807737231254577,0.5072219967842102,0.3807737231254577,0.3679895401000976,-1.571203351020813,0.3324188590049743,2.922119617462158,0.6316268444061279,2.998106002807617,,,,,,
o3,numeric,abstract_xyz,0.0427567400038242,huber,0.0935045406222343,0.1162408217787742,0.8839651164195337,0.0780161313712597,-336.33459764631067,-326.80649110761516,0.1484474509982399,0.1167559231411327,0.8134272950643178,0.0916771515664439,0.0847174049507488,0.0064943130449815,11,80,logistic,4,0.1,lbfgs,2,abstract_reasoning,collider,0.0,abstract_xyz,132,9,2025-08-18T22:13:50.636761+00:00,0.5072219967842102,0.4601943790912628,0.5072219967842102,0.4601943790912628,0.3679895401000976,-1.3382580280303955,0.3324188590049743,2.9958295822143555,0.6316268444061279,2.9823920726776123,,,,,,
gpt-4o,numeric-conf,abstract_abc,0.051165621727705,huber,0.1342108994722366,0.1913911700248718,0.732024452192095,0.0679381906986236,-256.54974983706165,-247.02164329836617,0.168004402359212,0.1323259766806255,0.7725040476495455,0.103514806224011,0.080156562951478,-0.0138074589046565,11,80,logistic,4,0.1,lbfgs,2,abstract_reasoning,collider,0.0,abstract_abc,132,9,2025-08-18T22:13:58.381684+00:00,0.5072219967842102,0.4551882743835449,0.5072219967842102,0.4551882743835449,0.3679895401000976,-1.4031718969345093,0.3324188590049743,2.9653775691986084,0.6316268444061279,2.997633218765259,,,,,,
gpt-4o,numeric-conf,abstract_quintuplets,0.0478029251098632,huber,0.1164891719818115,0.1701514422893524,0.7716954423862665,0.0707916684448718,-275.37062298449905,-265.84251644580354,0.1461048886864613,0.1184116517955606,0.8195599269444008,0.0855880787091878,0.0759339194406162,0.0037127790125933,11,80,logistic,4,0.1,lbfgs,2,abstract_reasoning,collider,0.0,abstract_quintuplets,132,9,2025-08-18T22:14:06.206322+00:00,0.5072219967842102,0.468516856431961,0.5072219967842102,0.468516856431961,0.3679895401000976,-1.4935652017593384,0.3324188590049743,2.990432024002075,0.6316268444061279,2.9954676628112793,,,,,,
gpt-4o,numeric-conf,abstract_triplets,0.0478611476719379,huber,0.1239635199308395,0.1941349357366562,0.6878809514313211,0.0431216355413198,-254.27228802163756,-244.74418148294205,0.1173973004939012,0.1010810705748471,0.8665856833817728,0.059705471564155,0.0557448555122722,0.0074084021828391,11,80,logistic,4,0.1,lbfgs,2,abstract_reasoning,collider,0.0,abstract_triplets,132,9,2025-08-18T22:14:13.896217+00:00,0.5072219967842102,0.4423097670078277,0.5072219967842102,0.4423097670078277,0.3679895401000976,-1.6824021339416504,0.3324188590049743,2.948034286499023,0.6316268444061279,2.988832473754883,,,,,,
gpt-4o,numeric-conf,abstract_triplets_symb,0.0498578175902366,huber,0.1321566104888916,0.1870000809431076,0.7343756791342433,0.075638523325324,-260.2633999836661,-250.73529344497055,0.1507169724339471,0.1235410848801786,0.8077952282974041,0.086331953101292,0.0714548331770029,-0.0081940841945734,11,80,logistic,4,0.1,lbfgs,2,abstract_reasoning,collider,0.0,abstract_triplets_symb,132,9,2025-08-18T22:14:21.630408+00:00,0.5072219967842102,0.4664294123649597,0.5072219967842102,0.4664294123649597,0.3679895401000976,-1.4811009168624878,0.3324188590049743,2.9834136962890625,0.6316268444061279,2.997572898864746,,,,,,
gpt-4o,numeric-conf,abstract_xyz,0.0518492870032787,huber,0.1302582770586013,0.178908884525299,0.768725484681821,0.074380799382925,-267.340573798043,-257.8124672593475,0.1691756448074521,0.1392492355270819,0.7803449205403686,0.0960731450569849,0.0839753138748082,-0.0090101102536374,11,80,logistic,4,0.1,lbfgs,2,abstract_reasoning,collider,0.0,abstract_xyz,132,9,2025-08-18T22:14:29.317943+00:00,0.5072219967842102,0.4495772123336792,0.5072219967842102,0.4495772123336792,0.3679895401000976,-1.3422744274139404,0.3324188590049743,2.986884832382202,0.6316268444061279,2.9981565475463867,,,,,,
gpt-4o,CoT,abstract_abc,0.043086938560009,huber,0.1039720028638839,0.1349626630544662,0.840079738869919,0.0598340384662151,-312.441145069291,-302.9130385305955,0.1717367367722317,0.1424336134032769,0.756016625723666,0.0959488016082569,0.1035168676213784,-0.0016026360067454,11,80,logistic,4,0.1,lbfgs,2,abstract_reasoning,collider,0.0,abstract_abc,132,9,2025-08-18T22:14:37.273082+00:00,0.5072219967842102,0.4209225177764892,0.5072219967842102,0.4209225177764892,0.3679895401000976,-1.4531066417694092,0.3324188590049743,2.976235866546631,0.6316268444061279,2.995786666870117,,,,,,
gpt-4o,CoT,abstract_quintuplets,0.0389240160584449,huber,0.087826669216156,0.1105751618742942,0.883212576923055,0.0517441518604755,-344.32956328889895,-334.80145675020344,0.1415944697515463,0.1213537144390019,0.8203099295350542,0.0729538885603689,0.0735127981413494,-0.0010264265266331,11,80,logistic,4,0.1,lbfgs,2,abstract_reasoning,collider,0.0,abstract_quintuplets,132,9,2025-08-18T22:14:45.061561+00:00,0.5072219967842102,0.4268207252025604,0.5072219967842102,0.4268207252025604,0.3679895401000976,-1.4802604913711548,0.3324188590049743,2.9867727756500244,0.6316268444061279,2.994936466217041,,,,,,
gpt-4o,CoT,abstract_triplets,0.0389383919537067,huber,0.0939199700951576,0.1165427714586258,0.8704715861116988,0.0542400181293487,-335.9195091474352,-326.39140260873967,0.1544571478547517,0.1296800937164913,0.7870786178239796,0.0839052073300975,0.0551884657957337,-0.0013719681989063,11,80,logistic,4,0.1,lbfgs,2,abstract_reasoning,collider,0.0,abstract_triplets,132,9,2025-08-18T22:14:52.851322+00:00,0.5072219967842102,0.4272479712963104,0.5072219967842102,0.4272479712963104,0.3679895401000976,-1.4704489707946775,0.3324188590049743,2.985226631164551,0.6316268444061279,2.995360851287842,,,,,,
gpt-4o,CoT,abstract_triplets_symb,0.0406734570860862,huber,0.1025569885969162,0.1443817466497421,0.8083987874328129,0.0486619021743536,-301.6471113356991,-292.1190047970036,0.1553571186852532,0.1251312758976763,0.779746617949046,0.092076045301715,0.0568400314450264,-0.0053223755413835,11,80,logistic,4,0.1,lbfgs,2,abstract_reasoning,collider,0.0,abstract_triplets_symb,132,9,2025-08-18T22:15:00.637601+00:00,0.5072219967842102,0.4282339513301849,0.5072219967842102,0.4282339513301849,0.3679895401000976,-1.5145536661148071,0.3324188590049743,2.964446783065796,0.6316268444061279,2.9953575134277344,,,,,,
gpt-4o,CoT,abstract_xyz,0.04572469368577,huber,0.1107030510902404,0.1355861127376556,0.8433751840087719,0.108350533619523,-311.70373202430613,-302.1756254856106,0.1856693417597184,0.1523886788975108,0.7288579122852923,0.1060697648406861,0.0428909767757762,0.0009491015564311,11,80,logistic,4,0.1,lbfgs,2,abstract_reasoning,collider,0.0,abstract_xyz,132,9,2025-08-18T22:15:08.627748+00:00,0.5072219967842102,0.3941007554531097,0.5072219967842102,0.3941007554531097,0.3679895401000976,-1.5181492567062378,0.3324188590049743,2.9764864444732666,0.6316268444061279,2.995082378387451,,,,,,
gpt-4o,numeric,abstract_abc,0.0690129250288009,huber,0.2214665412902832,0.3070638477802276,0.4412550749602141,0.1121427819132804,-178.91193320223584,-167.00180002886643,0.2635175213720055,0.203635883602229,0.4145292840082401,0.1672540312805189,0.1068250983953476,-0.0309437147595665,11,80,logistic,5,0.1,lbfgs,2,abstract_reasoning,collider,0.0,abstract_abc,132,9,2025-08-18T22:15:16.527900+00:00,0.5072219967842102,0.4615260660648346,0.550879955291748,0.6732401847839355,0.3679895401000976,-1.4006445407867432,0.3324188590049743,1.92170512676239,0.6316268444061279,2.998465061187744,,,,,,
o3,numeric,abstract_abc,0.0435884073376655,huber,0.0752677917480468,0.1038136482238769,0.9115937575571542,0.0443737287074327,-352.42525690113695,-340.51512372776756,0.1448138063669053,0.1075602440671487,0.8321970218474191,0.0969630466244071,0.0858524510806257,-0.0085498166355219,11,80,logistic,5,0.1,lbfgs,2,abstract_reasoning,collider,0.0,abstract_abc,132,9,2025-08-18T22:15:24.797777+00:00,0.5072219967842102,0.4982288181781769,0.550879955291748,0.994187831878662,0.3679895401000976,-1.4676395654678345,0.3324188590049743,2.9999775886535645,0.6316268444061279,2.9998867511749268,,,,,,
gpt-4o,numeric,abstract_quintuplets,0.0646838396787643,huber,0.1817494928836822,0.2762942314147949,0.5297724105216626,0.0909373924136161,-195.8062244432804,-183.89609126991095,0.2263540884484942,0.1835203211415897,0.5751895862105905,0.1325008116406707,0.1164252256805246,-0.0279895703900944,11,80,logistic,5,0.1,lbfgs,2,abstract_reasoning,collider,0.0,abstract_quintuplets,132,9,2025-08-18T22:15:33.089380+00:00,0.5072219967842102,0.4542394876480102,0.550879955291748,0.6651679873466492,0.3679895401000976,-1.4556398391723633,0.3324188590049743,2.490778684616089,0.6316268444061279,2.9950194358825684,,,,,,
o3,numeric,abstract_quintuplets,0.0428447425365448,huber,0.0861648544669151,0.1106113791465759,0.8959097105350539,0.0742480635643005,-342.2771704947146,-330.3670373213452,0.1418576901680296,0.1125729907371781,0.8309462544027465,0.0863187466098523,0.0929130834070118,0.0088507381623441,11,80,logistic,5,0.1,lbfgs,2,abstract_reasoning,collider,0.0,abstract_quintuplets,132,9,2025-08-18T22:15:41.741759+00:00,0.5072219967842102,0.4708572924137115,0.550879955291748,0.4775916039943695,0.3679895401000976,-1.2683088779449463,0.3324188590049743,2.99601411819458,0.6316268444061279,2.969716787338257,,,,,,
