s;domain;diagram;attr.polarity;letter.type;study.type;b;t;rt;y;type;aggr.type;betw.factors;task
20;economy;B;pmm;H;XorY=0,Z=0(X?);1;12;5,27;60;EA|C=0,EB=0;Ei|C=0,Ej=0;domain, attr.polarity, diagram, letter.type;c
20;economy;B;pmm;F;XorY=1,Z=0(Y?);1;13;5,5;60;EB|C=0,EA=1;Ei|C=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
20;economy;B;pmm;G;XorY=?,Z=0(Y?);1;14;5,16;60;EB|C=0;Ei|C=0;domain, attr.polarity, diagram, letter.type;c
20;economy;B;pmm;J;p(C|1E)[X]/v10;1;15;4,89;80;C|EA=0,EB=1;C|Ei=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
20;economy;B;pmm;A;XorY=1,Z=1(X?);1;16;4,39;100;EA|C=1,EB=1;Ei|C=1,Ej=1;domain, attr.polarity, diagram, letter.type;c
20;economy;B;pmm;G;XorY=?,Z=0(X?);1;17;3,46;80;EA|C=0;Ei|C=0;domain, attr.polarity, diagram, letter.type;c
20;economy;B;pmm;D;XorY=1,Z=?(X?);1;18;4,95;95;EA|EB=1;Ei|Ej=1;domain, attr.polarity, diagram, letter.type;c
20;economy;B;pmm;I;p(C|0E)/v00;1;19;3,4;60;C|EA=0,EB=0;C|EA=0,EB=0;domain, attr.polarity, diagram, letter.type;c
20;economy;B;pmm;H;XorY=0,Z=0(Y?);1;20;5,27;65;EB|C=0,EA=0;Ei|C=0,Ej=0;domain, attr.polarity, diagram, letter.type;c
22;society;A;pmm;I;p(C|0E)/v00;1;1;17,79;50;C|EA=0,EB=0;C|EA=0,EB=0;domain, attr.polarity, diagram, letter.type;c
22;society;A;pmm;E;XorY=0,Z=?(X?);1;2;37,02;25;EA|EB=0;Ei|Ej=0;domain, attr.polarity, diagram, letter.type;c
22;society;A;pmm;A;XorY=1,Z=1(Y?);1;3;9,12;100;EB|C=1,EA=1;Ei|C=1,Ej=1;domain, attr.polarity, diagram, letter.type;c
22;society;A;pmm;J;p(C|1E)[X]/v10;1;4;19,01;70;C|EA=0,EB=1;C|Ei=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
22;society;A;pmm;A;XorY=1,Z=1(X?);1;5;18,51;100;EA|C=1,EB=1;Ei|C=1,Ej=1;domain, attr.polarity, diagram, letter.type;c
22;society;A;pmm;K;p(C|2E)/v11;1;6;4,99;100;C|EA=1,EB=1;C|EA=1,EB=1;domain, attr.polarity, diagram, letter.type;c
22;society;A;pmm;G;XorY=?,Z=0(Y?);1;7;10,11;25;EB|C=0;Ei|C=0;domain, attr.polarity, diagram, letter.type;c
22;society;A;pmm;C;XorY=0,Z=1(X?);1;8;10,55;75;EA|C=1,EB=0;Ei|C=1,Ej=0;domain, attr.polarity, diagram, letter.type;c
22;society;A;pmm;H;XorY=0,Z=0(X?);1;9;12,35;50;EA|C=0,EB=0;Ei|C=0,Ej=0;domain, attr.polarity, diagram, letter.type;c
22;society;A;pmm;C;XorY=0,Z=1(Y?);1;10;11,98;65;EB|C=1,EA=0;Ei|C=1,Ej=0;domain, attr.polarity, diagram, letter.type;c
22;society;A;pmm;H;XorY=0,Z=0(Y?);1;11;11,7;25;EB|C=0,EA=0;Ei|C=0,Ej=0;domain, attr.polarity, diagram, letter.type;c
22;society;A;pmm;E;XorY=0,Z=?(Y?);1;12;14,39;10;EB|EA=0;Ei|Ej=0;domain, attr.polarity, diagram, letter.type;c
22;society;A;pmm;J;p(C|1E)[Y]/v01;1;13;30,59;75;C|EA=1,EB=0;C|Ei=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
22;society;A;pmm;G;XorY=?,Z=0(X?);1;14;6,81;55;EA|C=0;Ei|C=0;domain, attr.polarity, diagram, letter.type;c
22;society;A;pmm;D;XorY=1,Z=?(X?);1;15;16,42;85;EA|EB=1;Ei|Ej=1;domain, attr.polarity, diagram, letter.type;c
22;society;A;pmm;B;XorY=?,Z=1(X?);1;16;6,54;90;EA|C=1;Ei|C=1;domain, attr.polarity, diagram, letter.type;c
22;society;A;pmm;F;XorY=1,Z=0(Y?);1;17;11,43;35;EB|C=0,EA=1;Ei|C=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
22;society;A;pmm;B;XorY=?,Z=1(Y?);1;18;7,14;80;EB|C=1;Ei|C=1;domain, attr.polarity, diagram, letter.type;c
22;society;A;pmm;D;XorY=1,Z=?(Y?);1;19;12,68;75;EB|EA=1;Ei|Ej=1;domain, attr.polarity, diagram, letter.type;c
22;society;A;pmm;F;XorY=1,Z=0(X?);1;20;7,69;60;EA|C=0,EB=1;Ei|C=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
23;economy;B;ppp;J;p(C|1E)[Y]/v01;1;1;14,88;5;C|EA=1,EB=0;C|Ei=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
23;economy;B;ppp;A;XorY=1,Z=1(Y?);1;2;7,09;90;EB|C=1,EA=1;Ei|C=1,Ej=1;domain, attr.polarity, diagram, letter.type;c
23;economy;B;ppp;B;XorY=?,Z=1(Y?);1;3;16,09;50;EB|C=1;Ei|C=1;domain, attr.polarity, diagram, letter.type;c
23;economy;B;ppp;D;XorY=1,Z=?(Y?);1;4;11,86;75;EB|EA=1;Ei|Ej=1;domain, attr.polarity, diagram, letter.type;c
23;economy;B;ppp;C;XorY=0,Z=1(Y?);1;5;28,35;40;EB|C=1,EA=0;Ei|C=1,Ej=0;domain, attr.polarity, diagram, letter.type;c
23;economy;B;ppp;I;p(C|0E)/v00;1;6;1,92;50;C|EA=0,EB=0;C|EA=0,EB=0;domain, attr.polarity, diagram, letter.type;c
23;economy;B;ppp;B;XorY=?,Z=1(X?);1;7;10,76;85;EA|C=1;Ei|C=1;domain, attr.polarity, diagram, letter.type;c
23;economy;B;ppp;E;XorY=0,Z=?(Y?);1;8;8,24;5;EB|EA=0;Ei|Ej=0;domain, attr.polarity, diagram, letter.type;c
23;economy;B;ppp;F;XorY=1,Z=0(X?);1;9;11,1;10;EA|C=0,EB=1;Ei|C=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
23;economy;B;ppp;E;XorY=0,Z=?(X?);1;10;9,11;5;EA|EB=0;Ei|Ej=0;domain, attr.polarity, diagram, letter.type;c
23;economy;B;ppp;K;p(C|2E)/v11;1;11;7,53;95;C|EA=1,EB=1;C|EA=1,EB=1;domain, attr.polarity, diagram, letter.type;c
23;economy;B;ppp;H;XorY=0,Z=0(Y?);1;12;9,61;10;EB|C=0,EA=0;Ei|C=0,Ej=0;domain, attr.polarity, diagram, letter.type;c
23;economy;B;ppp;J;p(C|1E)[X]/v10;1;13;6,48;30;C|EA=0,EB=1;C|Ei=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
23;economy;B;ppp;D;XorY=1,Z=?(X?);1;14;8,74;80;EA|EB=1;Ei|Ej=1;domain, attr.polarity, diagram, letter.type;c
23;economy;B;ppp;H;XorY=0,Z=0(X?);1;15;8,67;5;EA|C=0,EB=0;Ei|C=0,Ej=0;domain, attr.polarity, diagram, letter.type;c
23;economy;B;ppp;C;XorY=0,Z=1(X?);1;16;5,17;35;EA|C=1,EB=0;Ei|C=1,Ej=0;domain, attr.polarity, diagram, letter.type;c
23;economy;B;ppp;G;XorY=?,Z=0(Y?);1;17;5,49;5;EB|C=0;Ei|C=0;domain, attr.polarity, diagram, letter.type;c
23;economy;B;ppp;G;XorY=?,Z=0(X?);1;18;2,53;5;EA|C=0;Ei|C=0;domain, attr.polarity, diagram, letter.type;c
23;economy;B;ppp;A;XorY=1,Z=1(X?);1;19;4,06;95;EA|C=1,EB=1;Ei|C=1,Ej=1;domain, attr.polarity, diagram, letter.type;c
23;economy;B;ppp;F;XorY=1,Z=0(Y?);1;20;17,63;25;EB|C=0,EA=1;Ei|C=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
24;economy;A;pmm;H;XorY=0,Z=0(X?);1;1;20,16;10;EA|C=0,EB=0;Ei|C=0,Ej=0;domain, attr.polarity, diagram, letter.type;c
24;economy;A;pmm;A;XorY=1,Z=1(X?);1;2;8,52;100;EA|C=1,EB=1;Ei|C=1,Ej=1;domain, attr.polarity, diagram, letter.type;c
24;economy;A;pmm;D;XorY=1,Z=?(Y?);1;3;11,2;25;EB|EA=1;Ei|Ej=1;domain, attr.polarity, diagram, letter.type;c
24;economy;A;pmm;J;p(C|1E)[Y]/v01;1;4;17,63;60;C|EA=1,EB=0;C|Ei=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
24;economy;A;pmm;K;p(C|2E)/v11;1;5;6,15;100;C|EA=1,EB=1;C|EA=1,EB=1;domain, attr.polarity, diagram, letter.type;c
24;economy;A;pmm;F;XorY=1,Z=0(Y?);1;6;4,34;30;EB|C=0,EA=1;Ei|C=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
24;economy;A;pmm;F;XorY=1,Z=0(X?);1;7;12,91;60;EA|C=0,EB=1;Ei|C=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
24;economy;A;pmm;J;p(C|1E)[X]/v10;1;8;9,94;20;C|EA=0,EB=1;C|Ei=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
24;economy;A;pmm;G;XorY=?,Z=0(X?);1;9;5,99;30;EA|C=0;Ei|C=0;domain, attr.polarity, diagram, letter.type;c
24;economy;A;pmm;E;XorY=0,Z=?(Y?);1;10;7,41;5;EB|EA=0;Ei|Ej=0;domain, attr.polarity, diagram, letter.type;c
24;economy;A;pmm;G;XorY=?,Z=0(Y?);1;11;8,79;10;EB|C=0;Ei|C=0;domain, attr.polarity, diagram, letter.type;c
24;economy;A;pmm;C;XorY=0,Z=1(X?);1;12;9,56;90;EA|C=1,EB=0;Ei|C=1,Ej=0;domain, attr.polarity, diagram, letter.type;c
24;economy;A;pmm;A;XorY=1,Z=1(Y?);1;13;33,39;100;EB|C=1,EA=1;Ei|C=1,Ej=1;domain, attr.polarity, diagram, letter.type;c
24;economy;A;pmm;C;XorY=0,Z=1(Y?);1;14;6,87;85;EB|C=1,EA=0;Ei|C=1,Ej=0;domain, attr.polarity, diagram, letter.type;c
24;economy;A;pmm;E;XorY=0,Z=?(X?);1;15;5,27;15;EA|EB=0;Ei|Ej=0;domain, attr.polarity, diagram, letter.type;c
24;economy;A;pmm;H;XorY=0,Z=0(Y?);1;16;7,03;0;EB|C=0,EA=0;Ei|C=0,Ej=0;domain, attr.polarity, diagram, letter.type;c
24;economy;A;pmm;B;XorY=?,Z=1(Y?);1;17;6,04;90;EB|C=1;Ei|C=1;domain, attr.polarity, diagram, letter.type;c
24;economy;A;pmm;I;p(C|0E)/v00;1;18;4,45;10;C|EA=0,EB=0;C|EA=0,EB=0;domain, attr.polarity, diagram, letter.type;c
24;economy;A;pmm;D;XorY=1,Z=?(X?);1;19;9,06;100;EA|EB=1;Ei|Ej=1;domain, attr.polarity, diagram, letter.type;c
24;economy;A;pmm;B;XorY=?,Z=1(X?);1;20;6,16;95;EA|C=1;Ei|C=1;domain, attr.polarity, diagram, letter.type;c
30;weather;B;mmp;A;XorY=1,Z=1(X?);1;1;4,67;50;EA|C=1,EB=1;Ei|C=1,Ej=1;domain, attr.polarity, diagram, letter.type;c
30;weather;B;mmp;H;XorY=0,Z=0(Y?);1;2;15,21;35;EB|C=0,EA=0;Ei|C=0,Ej=0;domain, attr.polarity, diagram, letter.type;c
30;weather;B;mmp;B;XorY=?,Z=1(Y?);1;3;6,71;90;EB|C=1;Ei|C=1;domain, attr.polarity, diagram, letter.type;c
30;weather;B;mmp;F;XorY=1,Z=0(X?);1;4;8,78;45;EA|C=0,EB=1;Ei|C=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
30;weather;B;mmp;K;p(C|2E)/v11;1;5;7,14;100;C|EA=1,EB=1;C|EA=1,EB=1;domain, attr.polarity, diagram, letter.type;c
30;weather;B;mmp;E;XorY=0,Z=?(X?);1;6;9,73;10;EA|EB=0;Ei|Ej=0;domain, attr.polarity, diagram, letter.type;c
30;weather;B;mmp;I;p(C|0E)/v00;1;7;7,9;0;C|EA=0,EB=0;C|EA=0,EB=0;domain, attr.polarity, diagram, letter.type;c
30;weather;B;mmp;B;XorY=?,Z=1(X?);1;8;4,62;100;EA|C=1;Ei|C=1;domain, attr.polarity, diagram, letter.type;c
30;weather;B;mmp;F;XorY=1,Z=0(Y?);1;9;4,28;100;EB|C=0,EA=1;Ei|C=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
30;weather;B;mmp;J;p(C|1E)[Y]/v01;1;10;6,37;50;C|EA=1,EB=0;C|Ei=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
30;weather;B;mmp;J;p(C|1E)[X]/v10;1;11;10,82;55;C|EA=0,EB=1;C|Ei=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
30;weather;B;mmp;C;XorY=0,Z=1(X?);1;12;12,85;100;EA|C=1,EB=0;Ei|C=1,Ej=0;domain, attr.polarity, diagram, letter.type;c
30;weather;B;mmp;G;XorY=?,Z=0(Y?);1;13;4,01;50;EB|C=0;Ei|C=0;domain, attr.polarity, diagram, letter.type;c
30;weather;B;mmp;G;XorY=?,Z=0(X?);1;14;4,18;50;EA|C=0;Ei|C=0;domain, attr.polarity, diagram, letter.type;c
30;weather;B;mmp;C;XorY=0,Z=1(Y?);1;15;7,3;100;EB|C=1,EA=0;Ei|C=1,Ej=0;domain, attr.polarity, diagram, letter.type;c
30;weather;B;mmp;E;XorY=0,Z=?(Y?);1;16;10,05;75;EB|EA=0;Ei|Ej=0;domain, attr.polarity, diagram, letter.type;c
30;weather;B;mmp;D;XorY=1,Z=?(X?);1;17;17,69;70;EA|EB=1;Ei|Ej=1;domain, attr.polarity, diagram, letter.type;c
30;weather;B;mmp;H;XorY=0,Z=0(X?);1;18;7,58;10;EA|C=0,EB=0;Ei|C=0,Ej=0;domain, attr.polarity, diagram, letter.type;c
30;weather;B;mmp;D;XorY=1,Z=?(Y?);1;19;14,99;100;EB|EA=1;Ei|Ej=1;domain, attr.polarity, diagram, letter.type;c
30;weather;B;mmp;A;XorY=1,Z=1(Y?);1;20;5,11;100;EB|C=1,EA=1;Ei|C=1,Ej=1;domain, attr.polarity, diagram, letter.type;c
37;society;B;mpm;I;p(C|0E)/v00;1;1;28,46;0;C|EA=0,EB=0;C|EA=0,EB=0;domain, attr.polarity, diagram, letter.type;c
37;society;B;mpm;D;XorY=1,Z=?(X?);1;2;26,96;75;EA|EB=1;Ei|Ej=1;domain, attr.polarity, diagram, letter.type;c
37;society;B;mpm;J;p(C|1E)[Y]/v01;1;3;29,66;90;C|EA=1,EB=0;C|Ei=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
37;society;B;mpm;B;XorY=?,Z=1(Y?);1;4;18,07;95;EB|C=1;Ei|C=1;domain, attr.polarity, diagram, letter.type;c
37;society;B;mpm;D;XorY=1,Z=?(Y?);1;5;30,32;70;EB|EA=1;Ei|Ej=1;domain, attr.polarity, diagram, letter.type;c
37;society;B;mpm;C;XorY=0,Z=1(Y?);1;6;8,3;50;EB|C=1,EA=0;Ei|C=1,Ej=0;domain, attr.polarity, diagram, letter.type;c
37;society;B;mpm;H;XorY=0,Z=0(Y?);1;7;6,81;5;EB|C=0,EA=0;Ei|C=0,Ej=0;domain, attr.polarity, diagram, letter.type;c
37;society;B;mpm;F;XorY=1,Z=0(X?);1;8;15,93;35;EA|C=0,EB=1;Ei|C=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
37;society;B;mpm;G;XorY=?,Z=0(Y?);1;9;6,2;20;EB|C=0;Ei|C=0;domain, attr.polarity, diagram, letter.type;c
37;society;B;mpm;E;XorY=0,Z=?(X?);1;10;23,95;55;EA|EB=0;Ei|Ej=0;domain, attr.polarity, diagram, letter.type;c
37;society;B;mpm;A;XorY=1,Z=1(X?);1;11;6,76;100;EA|C=1,EB=1;Ei|C=1,Ej=1;domain, attr.polarity, diagram, letter.type;c
37;society;B;mpm;G;XorY=?,Z=0(X?);1;12;3,29;50;EA|C=0;Ei|C=0;domain, attr.polarity, diagram, letter.type;c
37;society;B;mpm;K;p(C|2E)/v11;1;13;6,65;100;C|EA=1,EB=1;C|EA=1,EB=1;domain, attr.polarity, diagram, letter.type;c
37;society;B;mpm;A;XorY=1,Z=1(Y?);1;14;9,17;100;EB|C=1,EA=1;Ei|C=1,Ej=1;domain, attr.polarity, diagram, letter.type;c
37;society;B;mpm;F;XorY=1,Z=0(Y?);1;15;19,22;60;EB|C=0,EA=1;Ei|C=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
37;society;B;mpm;C;XorY=0,Z=1(X?);1;16;5,77;55;EA|C=1,EB=0;Ei|C=1,Ej=0;domain, attr.polarity, diagram, letter.type;c
37;society;B;mpm;H;XorY=0,Z=0(X?);1;17;14,01;35;EA|C=0,EB=0;Ei|C=0,Ej=0;domain, attr.polarity, diagram, letter.type;c
37;society;B;mpm;J;p(C|1E)[X]/v10;1;18;15,43;50;C|EA=0,EB=1;C|Ei=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
37;society;B;mpm;E;XorY=0,Z=?(Y?);1;19;7,03;15;EB|EA=0;Ei|Ej=0;domain, attr.polarity, diagram, letter.type;c
37;society;B;mpm;B;XorY=?,Z=1(X?);1;20;11,32;60;EA|C=1;Ei|C=1;domain, attr.polarity, diagram, letter.type;c
41;economy;B;mpm;E;XorY=0,Z=?(Y?);1;1;16,92;50;EB|EA=0;Ei|Ej=0;domain, attr.polarity, diagram, letter.type;c
41;economy;B;mpm;J;p(C|1E)[Y]/v01;1;2;32,35;40;C|EA=1,EB=0;C|Ei=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
41;economy;B;mpm;A;XorY=1,Z=1(Y?);1;3;18,89;80;EB|C=1,EA=1;Ei|C=1,Ej=1;domain, attr.polarity, diagram, letter.type;c
41;economy;B;mpm;F;XorY=1,Z=0(X?);1;4;9,61;40;EA|C=0,EB=1;Ei|C=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
41;economy;B;mpm;D;XorY=1,Z=?(Y?);1;5;13,4;60;EB|EA=1;Ei|Ej=1;domain, attr.polarity, diagram, letter.type;c
41;economy;B;mpm;D;XorY=1,Z=?(X?);1;6;4,18;60;EA|EB=1;Ei|Ej=1;domain, attr.polarity, diagram, letter.type;c
41;economy;B;mpm;J;p(C|1E)[X]/v10;1;7;6,7;60;C|EA=0,EB=1;C|Ei=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
41;economy;B;mpm;F;XorY=1,Z=0(Y?);1;8;7,08;40;EB|C=0,EA=1;Ei|C=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
41;economy;B;mpm;K;p(C|2E)/v11;1;9;7,8;90;C|EA=1,EB=1;C|EA=1,EB=1;domain, attr.polarity, diagram, letter.type;c
41;economy;B;mpm;G;XorY=?,Z=0(X?);1;10;6,43;35;EA|C=0;Ei|C=0;domain, attr.polarity, diagram, letter.type;c
41;economy;B;mpm;C;XorY=0,Z=1(X?);1;11;12,08;55;EA|C=1,EB=0;Ei|C=1,Ej=0;domain, attr.polarity, diagram, letter.type;c
41;economy;B;mpm;B;XorY=?,Z=1(X?);1;12;5,94;80;EA|C=1;Ei|C=1;domain, attr.polarity, diagram, letter.type;c
41;economy;B;mpm;G;XorY=?,Z=0(Y?);1;13;6,26;60;EB|C=0;Ei|C=0;domain, attr.polarity, diagram, letter.type;c
41;economy;B;mpm;E;XorY=0,Z=?(X?);1;14;6,81;50;EA|EB=0;Ei|Ej=0;domain, attr.polarity, diagram, letter.type;c
41;economy;B;mpm;H;XorY=0,Z=0(Y?);1;15;16,92;20;EB|C=0,EA=0;Ei|C=0,Ej=0;domain, attr.polarity, diagram, letter.type;c
41;economy;B;mpm;C;XorY=0,Z=1(Y?);1;16;4,61;60;EB|C=1,EA=0;Ei|C=1,Ej=0;domain, attr.polarity, diagram, letter.type;c
41;economy;B;mpm;A;XorY=1,Z=1(X?);1;17;4,67;90;EA|C=1,EB=1;Ei|C=1,Ej=1;domain, attr.polarity, diagram, letter.type;c
41;economy;B;mpm;H;XorY=0,Z=0(X?);1;18;8,62;20;EA|C=0,EB=0;Ei|C=0,Ej=0;domain, attr.polarity, diagram, letter.type;c
41;economy;B;mpm;I;p(C|0E)/v00;1;19;14,94;30;C|EA=0,EB=0;C|EA=0,EB=0;domain, attr.polarity, diagram, letter.type;c
41;economy;B;mpm;B;XorY=?,Z=1(Y?);1;20;3,46;80;EB|C=1;Ei|C=1;domain, attr.polarity, diagram, letter.type;c
48;society;B;mmp;B;XorY=?,Z=1(X?);1;1;26,75;65;EA|C=1;Ei|C=1;domain, attr.polarity, diagram, letter.type;c
48;society;B;mmp;C;XorY=0,Z=1(Y?);1;2;13,34;40;EB|C=1,EA=0;Ei|C=1,Ej=0;domain, attr.polarity, diagram, letter.type;c
48;society;B;mmp;G;XorY=?,Z=0(Y?);1;3;3,96;50;EB|C=0;Ei|C=0;domain, attr.polarity, diagram, letter.type;c
48;society;B;mmp;D;XorY=1,Z=?(Y?);1;4;3,62;50;EB|EA=1;Ei|Ej=1;domain, attr.polarity, diagram, letter.type;c
48;society;B;mmp;F;XorY=1,Z=0(Y?);1;5;8,3;50;EB|C=0,EA=1;Ei|C=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
48;society;B;mmp;K;p(C|2E)/v11;1;6;9,72;70;C|EA=1,EB=1;C|EA=1,EB=1;domain, attr.polarity, diagram, letter.type;c
48;society;B;mmp;H;XorY=0,Z=0(X?);1;7;9,45;30;EA|C=0,EB=0;Ei|C=0,Ej=0;domain, attr.polarity, diagram, letter.type;c
48;society;B;mmp;D;XorY=1,Z=?(X?);1;8;6,53;50;EA|EB=1;Ei|Ej=1;domain, attr.polarity, diagram, letter.type;c
48;society;B;mmp;H;XorY=0,Z=0(Y?);1;9;10,33;30;EB|C=0,EA=0;Ei|C=0,Ej=0;domain, attr.polarity, diagram, letter.type;c
48;society;B;mmp;I;p(C|0E)/v00;1;10;6,53;25;C|EA=0,EB=0;C|EA=0,EB=0;domain, attr.polarity, diagram, letter.type;c
48;society;B;mmp;J;p(C|1E)[X]/v10;1;11;4,23;40;C|EA=0,EB=1;C|Ei=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
48;society;B;mmp;E;XorY=0,Z=?(Y?);1;12;4,95;40;EB|EA=0;Ei|Ej=0;domain, attr.polarity, diagram, letter.type;c
48;society;B;mmp;A;XorY=1,Z=1(Y?);1;13;17,13;70;EB|C=1,EA=1;Ei|C=1,Ej=1;domain, attr.polarity, diagram, letter.type;c
48;society;B;mmp;C;XorY=0,Z=1(X?);1;14;14,56;60;EA|C=1,EB=0;Ei|C=1,Ej=0;domain, attr.polarity, diagram, letter.type;c
48;society;B;mmp;B;XorY=?,Z=1(Y?);1;15;3,07;60;EB|C=1;Ei|C=1;domain, attr.polarity, diagram, letter.type;c
48;society;B;mmp;F;XorY=1,Z=0(X?);1;16;5,99;35;EA|C=0,EB=1;Ei|C=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
48;society;B;mmp;E;XorY=0,Z=?(X?);1;17;7,25;35;EA|EB=0;Ei|Ej=0;domain, attr.polarity, diagram, letter.type;c
48;society;B;mmp;J;p(C|1E)[Y]/v01;1;18;5,88;55;C|EA=1,EB=0;C|Ei=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
48;society;B;mmp;G;XorY=?,Z=0(X?);1;19;5,33;50;EA|C=0;Ei|C=0;domain, attr.polarity, diagram, letter.type;c
48;society;B;mmp;A;XorY=1,Z=1(X?);1;20;8,12;75;EA|C=1,EB=1;Ei|C=1,Ej=1;domain, attr.polarity, diagram, letter.type;c
49;society;B;ppp;C;XorY=0,Z=1(X?);1;1;43,5;95;EA|C=1,EB=0;Ei|C=1,Ej=0;domain, attr.polarity, diagram, letter.type;c
49;society;B;ppp;K;p(C|2E)/v11;1;2;15,1;100;C|EA=1,EB=1;C|EA=1,EB=1;domain, attr.polarity, diagram, letter.type;c
49;society;B;ppp;H;XorY=0,Z=0(X?);1;3;22,36;65;EA|C=0,EB=0;Ei|C=0,Ej=0;domain, attr.polarity, diagram, letter.type;c
49;society;B;ppp;E;XorY=0,Z=?(Y?);1;4;26,91;40;EB|EA=0;Ei|Ej=0;domain, attr.polarity, diagram, letter.type;c
49;society;B;ppp;B;XorY=?,Z=1(X?);1;5;13,29;100;EA|C=1;Ei|C=1;domain, attr.polarity, diagram, letter.type;c
49;society;B;ppp;G;XorY=?,Z=0(X?);1;6;8,19;65;EA|C=0;Ei|C=0;domain, attr.polarity, diagram, letter.type;c
49;society;B;ppp;A;XorY=1,Z=1(Y?);1;7;9,39;100;EB|C=1,EA=1;Ei|C=1,Ej=1;domain, attr.polarity, diagram, letter.type;c
49;society;B;ppp;J;p(C|1E)[X]/v10;1;8;11,26;60;C|EA=0,EB=1;C|Ei=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
49;society;B;ppp;F;XorY=1,Z=0(X?);1;9;20,76;45;EA|C=0,EB=1;Ei|C=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
49;society;B;ppp;C;XorY=0,Z=1(Y?);1;10;8,4;90;EB|C=1,EA=0;Ei|C=1,Ej=0;domain, attr.polarity, diagram, letter.type;c
49;society;B;ppp;J;p(C|1E)[Y]/v01;1;11;11,26;85;C|EA=1,EB=0;C|Ei=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
49;society;B;ppp;D;XorY=1,Z=?(X?);1;12;18,57;75;EA|EB=1;Ei|Ej=1;domain, attr.polarity, diagram, letter.type;c
49;society;B;ppp;B;XorY=?,Z=1(Y?);1;13;7,69;100;EB|C=1;Ei|C=1;domain, attr.polarity, diagram, letter.type;c
49;society;B;ppp;A;XorY=1,Z=1(X?);1;14;5,22;100;EA|C=1,EB=1;Ei|C=1,Ej=1;domain, attr.polarity, diagram, letter.type;c
49;society;B;ppp;G;XorY=?,Z=0(Y?);1;15;14,61;50;EB|C=0;Ei|C=0;domain, attr.polarity, diagram, letter.type;c
49;society;B;ppp;I;p(C|0E)/v00;1;16;5,93;50;C|EA=0,EB=0;C|EA=0,EB=0;domain, attr.polarity, diagram, letter.type;c
49;society;B;ppp;D;XorY=1,Z=?(Y?);1;17;9,83;60;EB|EA=1;Ei|Ej=1;domain, attr.polarity, diagram, letter.type;c
49;society;B;ppp;H;XorY=0,Z=0(Y?);1;18;5,11;40;EB|C=0,EA=0;Ei|C=0,Ej=0;domain, attr.polarity, diagram, letter.type;c
49;society;B;ppp;F;XorY=1,Z=0(Y?);1;19;7,69;45;EB|C=0,EA=1;Ei|C=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
49;society;B;ppp;E;XorY=0,Z=?(X?);1;20;6,04;50;EA|EB=0;Ei|Ej=0;domain, attr.polarity, diagram, letter.type;c
52;weather;A;pmm;D;XorY=1,Z=?(Y?);1;1;31,64;50;EB|EA=1;Ei|Ej=1;domain, attr.polarity, diagram, letter.type;c
52;weather;A;pmm;J;p(C|1E)[Y]/v01;1;2;15,05;55;C|EA=1,EB=0;C|Ei=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
52;weather;A;pmm;E;XorY=0,Z=?(Y?);1;3;14,66;50;EB|EA=0;Ei|Ej=0;domain, attr.polarity, diagram, letter.type;c
52;weather;A;pmm;B;XorY=?,Z=1(Y?);1;4;9,61;100;EB|C=1;Ei|C=1;domain, attr.polarity, diagram, letter.type;c
52;weather;A;pmm;D;XorY=1,Z=?(X?);1;5;6,59;65;EA|EB=1;Ei|Ej=1;domain, attr.polarity, diagram, letter.type;c
52;weather;A;pmm;J;p(C|1E)[X]/v10;1;6;6,81;60;C|EA=0,EB=1;C|Ei=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
