s;domain;diagram;attr.polarity;letter.type;study.type;b;t;rt;y;type;aggr.type;betw.factors;task
6;weather;B;mpm;H;XorY=0,Z=0(X?);1;15;11,15;15;EA|C=0,EB=0;Ei|C=0,Ej=0;domain, attr.polarity, diagram, letter.type;c
6;weather;B;mpm;E;XorY=0,Z=?(X?);1;16;10,99;15;EA|EB=0;Ei|Ej=0;domain, attr.polarity, diagram, letter.type;c
6;weather;B;mpm;B;XorY=?,Z=1(Y?);1;17;6,75;70;EB|C=1;Ei|C=1;domain, attr.polarity, diagram, letter.type;c
6;weather;B;mpm;A;XorY=1,Z=1(Y?);1;18;5,66;85;EB|C=1,EA=1;Ei|C=1,Ej=1;domain, attr.polarity, diagram, letter.type;c
6;weather;B;mpm;A;XorY=1,Z=1(X?);1;19;6,65;80;EA|C=1,EB=1;Ei|C=1,Ej=1;domain, attr.polarity, diagram, letter.type;c
6;weather;B;mpm;D;XorY=1,Z=?(Y?);1;20;7,52;25;EB|EA=1;Ei|Ej=1;domain, attr.polarity, diagram, letter.type;c
8;economy;B;mmp;D;XorY=1,Z=?(X?);1;1;10,6;100;EA|EB=1;Ei|Ej=1;domain, attr.polarity, diagram, letter.type;c
8;economy;B;mmp;B;XorY=?,Z=1(Y?);1;2;6,32;100;EB|C=1;Ei|C=1;domain, attr.polarity, diagram, letter.type;c
8;economy;B;mmp;H;XorY=0,Z=0(Y?);1;3;13,07;30;EB|C=0,EA=0;Ei|C=0,Ej=0;domain, attr.polarity, diagram, letter.type;c
8;economy;B;mmp;K;p(C|2E)/v11;1;4;6,54;65;C|EA=1,EB=1;C|EA=1,EB=1;domain, attr.polarity, diagram, letter.type;c
8;economy;B;mmp;E;XorY=0,Z=?(Y?);1;5;12,14;45;EB|EA=0;Ei|Ej=0;domain, attr.polarity, diagram, letter.type;c
8;economy;B;mmp;B;XorY=?,Z=1(X?);1;6;16,25;100;EA|C=1;Ei|C=1;domain, attr.polarity, diagram, letter.type;c
8;economy;B;mmp;A;XorY=1,Z=1(Y?);1;7;8,46;100;EB|C=1,EA=1;Ei|C=1,Ej=1;domain, attr.polarity, diagram, letter.type;c
8;economy;B;mmp;A;XorY=1,Z=1(X?);1;8;6,65;100;EA|C=1,EB=1;Ei|C=1,Ej=1;domain, attr.polarity, diagram, letter.type;c
8;economy;B;mmp;J;p(C|1E)[X]/v10;1;9;39,33;0;C|EA=0,EB=1;C|Ei=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
8;economy;B;mmp;I;p(C|0E)/v00;1;10;8,62;0;C|EA=0,EB=0;C|EA=0,EB=0;domain, attr.polarity, diagram, letter.type;c
8;economy;B;mmp;J;p(C|1E)[Y]/v01;1;11;5,22;0;C|EA=1,EB=0;C|Ei=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
8;economy;B;mmp;H;XorY=0,Z=0(X?);1;12;6,42;55;EA|C=0,EB=0;Ei|C=0,Ej=0;domain, attr.polarity, diagram, letter.type;c
