s;domain;diagram;attr.polarity;letter.type;study.type;trial;rt;y;type;aggr.type;betw.factors;task
1;society;b;pmm;H;X|Y=0,Z=0;17;9,635;10;CA|E=0,CB=0;Ci|E=0,Cj=0;domain, attr.polarity, diagram, letter.type;c
1;society;b;pmm;C;X|Y=0,Z=1;18;7,883;90;CA|E=1,CB=0;Ci|E=1,Cj=0;domain, attr.polarity, diagram, letter.type;c
1;society;b;pmm;A;X|Y=1,Z=1;19;5,899;70;CA|E=1,CB=1;Ci|E=1,Cj=1;domain, attr.polarity, diagram, letter.type;c
3;weather;b;mmp;A;X|Y=1,Z=1;0;29,736;65;CA|E=1,CB=1;Ci|E=1,Cj=1;domain, attr.polarity, diagram, letter.type;c
3;weather;b;mmp;B;X|Z=1;1;5,939;35;CA|E=1;Ci|E=1;domain, attr.polarity, diagram, letter.type;c
3;weather;b;mmp;C;X|Y=0,Z=1;2;5,587;85;CA|E=1,CB=0;Ci|E=1,Cj=0;domain, attr.polarity, diagram, letter.type;c
3;weather;b;mmp;K;Z|X=1,Y=1;3;5,804;95;E|CA=1,CB=1;E|CA=1,CB=1;domain, attr.polarity, diagram, letter.type;c
3;weather;b;mmp;E;X|Y=0;4;9,009;15;CA|CB=0;Ci|Cj=0;domain, attr.polarity, diagram, letter.type;c
3;weather;b;mmp;G;X|Z=0;5;7,715;25;CA|E=0;Ci|E=0;domain, attr.polarity, diagram, letter.type;c
3;weather;b;mmp;D;X|Y=1;6;4,899;5;CA|CB=1;Ci|Cj=1;domain, attr.polarity, diagram, letter.type;c
3;weather;b;mmp;F;X|Y=1,Z=0;7;8,355;5;CA|E=0,CB=1;Ci|E=0,Cj=1;domain, attr.polarity, diagram, letter.type;c
3;weather;b;mmp;E;Y|X=0;8;4,811;5;CB|CA=0;Ci|Cj=0;domain, attr.polarity, diagram, letter.type;c
3;weather;b;mmp;D;Y|X=1;9;3,867;5;CB|CA=1;Ci|Cj=1;domain, attr.polarity, diagram, letter.type;c
3;weather;b;mmp;H;Y|X=0,Z=0;10;5,227;5;CB|E=0,CA=0;Ci|E=0,Cj=0;domain, attr.polarity, diagram, letter.type;c
3;weather;b;mmp;H;X|Y=0,Z=0;11;5,683;5;CA|E=0,CB=0;Ci|E=0,Cj=0;domain, attr.polarity, diagram, letter.type;c
