agent,prompt_category,domain,loss,loss_function,mae,rmse,r2,rmse_task,r2_task,ece_10bin,aic,bic,loocv_rmse,loocv_mae,loocv_r2,loocv_consistency,loocv_calibration,loocv_bias,loocv_n_folds,num_rows,model,params_tying,lr,optimizer,version,experiment,graph_type,temperature,included_domains,seed_used,restart_index,run_timestamp,init_pC1,fit_pC1,init_pC2,fit_pC2,init_w0,fit_w0,init_w1,fit_w1,init_w2,fit_w2,init_b,fit_b,init_m1,fit_m1,init_m2,fit_m2
gpt-5-mini-v_low-r_minimal,numeric,,0.0144967632368206,huber,0.1254386603832245,0.1544611752033233,0.4981557782119461,0.070069647847858,0.872100228381331,0.0335621953010559,-1787.099957022799,-1774.5785987110928,0.1086338919216617,0.0868147570797891,0.6925740156190892,0.0653032956842493,0.0558040252237608,0.0041941841082139,11,480,noisy_or,3,0.1,lbfgs,1,rw17_overloaded_d,collider,0.0,econ_ovl_d=ctl;econ_ovl_d=soc;soc_ovl_d=ctl;soc_ovl_d=econ;weath_ovl_d=ctl;weath_ovl_d=econ,1,1,2025-08-31T13:42:59.751183+00:00,0.4715025722980499,0.4555749893188476,0.4715025722980499,0.4555749893188476,,,,,,,0.494641900062561,0.2729658186435699,0.4953719675540924,0.4951125085353851,0.4953719675540924,0.4951125085353851
gpt-5-mini-v_low-r_minimal,CoT,,0.0142118325456976,huber,0.0784984901547432,0.0985166281461715,0.8474265994663475,0.0602084629229866,0.9453805291942212,0.0479971785880938,-2200.2885209111987,-2187.7922673485045,0.084307527121975,0.0645634394550772,0.8929059984427016,0.0542155089909994,0.0643925504098242,-0.0125002376085788,11,476,noisy_or,3,0.1,lbfgs,1,rw17_overloaded_d,collider,0.0,econ_ovl_d=ctl;econ_ovl_d=soc;soc_ovl_d=ctl;soc_ovl_d=econ;weath_ovl_d=ctl;weath_ovl_d=econ,1,1,2025-08-31T13:54:10.594611+00:00,0.4715025722980499,0.3526749610900879,0.4715025722980499,0.3526749610900879,,,,,,,0.494641900062561,0.1423615962266922,0.4953719675540924,0.678568422794342,0.4953719675540924,0.678568422794342
gpt-5-mini-v_low-r_minimal,numeric-conf,,0.013317166827619,huber,0.0973186939954757,0.1239808052778244,0.7094446360215563,0.0546090919518621,0.9393765950295636,0.0369056962430477,-1998.123377478978,-1985.602019167272,0.0756258012157208,0.0698253750439846,0.8837346095159173,0.0290461496499383,0.0444513844360004,-0.015263143416607,11,480,noisy_or,3,0.1,lbfgs,1,rw17_overloaded_d,collider,0.0,econ_ovl_d=ctl;econ_ovl_d=soc;soc_ovl_d=ctl;soc_ovl_d=econ;weath_ovl_d=ctl;weath_ovl_d=econ,1,1,2025-08-31T14:06:23.210343+00:00,0.4715025722980499,0.3770193457603454,0.4715025722980499,0.3770193457603454,,,,,,,0.494641900062561,0.1872050911188125,0.4953719675540924,0.5715889930725098,0.4953719675540924,0.5715889930725098
gpt-5-mini-v_low-r_minimal,numeric,,0.0146009940654039,huber,0.1174145564436912,0.1468434929847717,0.5464349043494614,0.0469003422622854,0.9426990366531351,0.0139743208885192,-1833.6524161629784,-1816.957271747371,0.0854021112839539,0.0692690215327522,0.8100028400543452,0.0499532107842124,0.0300700326038129,0.0132697011124003,11,480,noisy_or,4,0.1,lbfgs,1,rw17_overloaded_d,collider,0.0,econ_ovl_d=ctl;econ_ovl_d=soc;soc_ovl_d=ctl;soc_ovl_d=econ;weath_ovl_d=ctl;weath_ovl_d=econ,4,4,2025-08-31T14:25:07.412839+00:00,0.5121279954910278,0.4374662935733795,0.5121279954910278,0.4374662935733795,,,,,,,0.4838784635066986,0.1717645227909088,0.4927954077720642,0.3237888813018799,0.4725507199764251,0.653600811958313
gpt-5-mini-v_low-r_minimal,CoT,,0.0140970423817634,huber,0.0727176815271377,0.0933023318648338,0.8631500051999597,0.0526191092017828,0.958282392770752,0.0078630985206916,-2250.0584702345654,-2233.3967988176396,0.098302029036345,0.0740261224068882,0.8544013297274791,0.0646793793574338,0.0647317808533163,0.0113017095732962,11,476,noisy_or,4,0.1,lbfgs,1,rw17_overloaded_d,collider,0.0,econ_ovl_d=ctl;econ_ovl_d=soc;soc_ovl_d=ctl;soc_ovl_d=econ;weath_ovl_d=ctl;weath_ovl_d=econ,1,1,2025-08-31T14:39:05.133173+00:00,0.4715025722980499,0.3401095867156982,0.4715025722980499,0.3401095867156982,,,,,,,0.494641900062561,0.1016662642359733,0.4953719675540924,0.548466145992279,0.5772022008895874,0.7409349679946899
gpt-5-mini-v_low-r_minimal,numeric-conf,,0.013510390184819698,huber,0.09374545514583588,0.1182435005903244,0.7357137701246415,0.04214166465543308,0.9638977899392449,0.012256199866533278,-2041.6088590406189,-2024.9137146250112,0.06305084538118866,0.05278138198635795,0.9191849390496888,0.034489633498962086,0.019533749728491794,-0.004361774939479249,11,480,noisy_or,4,0.1,lbfgs,1,rw17_overloaded_d,collider,0.0,econ_ovl_d=ctl;econ_ovl_d=soc;soc_ovl_d=ctl;soc_ovl_d=econ;weath_ovl_d=ctl;weath_ovl_d=econ,1,1,2025-08-31T14:55:22.279668+00:00,0.4715025722980499,0.3634491264820099,0.4715025722980499,0.3634491264820099,,,,,,,0.49464190006256104,0.12481006234884262,0.4953719675540924,0.4266616404056549,0.5772022008895874,0.6688892245292664
