agent,prompt_category,domain,loss,loss_function,mae,rmse,r2,rmse_task,r2_task,ece_10bin,aic,bic,loocv_rmse,loocv_mae,loocv_r2,loocv_consistency,loocv_calibration,loocv_bias,loocv_n_folds,num_rows,model,params_tying,lr,optimizer,version,experiment,graph_type,temperature,included_domains,seed_used,restart_index,run_timestamp,init_pC1,fit_pC1,init_pC2,fit_pC2,init_w0,fit_w0,init_w1,fit_w1,init_w2,fit_w2,init_b,fit_b,init_m1,fit_m1,init_m2,fit_m2
human-99,single_numeric_response,,0.0111069083213806,huber,0.0317183397710323,0.0472807846963405,0.931740517994366,0.054737917012085,0.9192613272177312,0.0145730582567361,-73.34293302856584,-71.64808495618122,0.0942103884834285,0.0683181868659125,0.7608322258350079,0.0648708150214932,0.0511107630199856,0.0098976638582017,9,13,noisy_or,3,0.1,lbfgs,1,rw17_overloaded_e,collider,0.0,sociology,4,4,2025-08-31T13:50:07.990257+00:00,0.5121279954910278,0.4992395937442779,0.5121279954910278,0.4992395937442779,,,,,,,0.4838784635066986,0.0417541190981864,0.4927954077720642,0.5915822386741638,0.4927954077720642,0.5915822386741638
human-99,single_numeric_response,,0.010925858281552792,huber,0.027251800522208214,0.04238119348883629,0.9451546283757155,0.045979034556431035,0.9430328138611982,0.010246501519129828,-74.18731423263762,-71.92751680279147,0.11817717784731199,0.08472555743323433,0.6236670009005937,0.08238583180124433,0.05216298633151584,0.04353616767459446,9,13,noisy_or,4,0.1,lbfgs,1,rw17_overloaded_e,collider,0.0,sociology,4,4,2025-08-31T14:45:12.270482+00:00,0.5121279954910278,0.48964381217956543,0.5121279954910278,0.48964381217956543,,,,,,,0.4838784635066986,0.013032210990786552,0.4927954077720642,0.5218799114227295,0.47255071997642517,0.6248198747634888
