agent,domain,version,prompt_category,link,params_tying,learning_rate,lr_subdir,spec_hash,short_spec_hash,group_hash,short_group_hash,loocv_r2,cv_r2,r2_task,rmse_task,mae,aic,bic,loocv_rmse,loocv_mae,b,m1,m2,pC1,pC2
gpt-5-v_low-r_minimal,all,1,CoT,noisy_or,3,,lr0p1,f81ed7c2b87d3c358313eef8cfbc59c2ff755f94be5950147b0aa897142c099c,f81ed7c2b87d,b99c7bb3e554dca61d5c65d6169fafd40b583b73df836275e68b7cb3e6851690,b99c7bb3e554,0.9505742163982484,0.9505742163982484,0.9717888144762115,0.046904542675573174,0.06460484117269516,-1203.9447942806667,-1193.5028775106407,0.062084189966966685,,0.1924586445093155,0.7764862179756165,0.7764862179756165,0.4428732395172119,0.4428732395172119
gpt-4.1-mini,all,1,CoT,noisy_or,3,,lr0p1,2f8eec747e7edd5ac4ae1d50b2bfa46c7692af7e35095676543eb81bea80e30e,2f8eec747e7e,b2f9c79648641832c7f00cc98a749474291711c5171667b87c5fd29ed455430f,b2f9c7964864,0.9503033449126045,0.9503033449126045,0.9823802191509168,0.03791607978158354,0.06919717788696289,-1171.3182377157423,-1160.8763209457163,0.06367761027465658,,0.08445072919130325,0.7128015160560608,0.7128015160560608,0.3476105332374573,0.3476105332374573
gpt-4o,all,1,CoT,noisy_or,3,,lr0p1,4a720387745c9e181b582c6c62811a319011bb47d3423a8b103d5c6b191008e7,4a720387745c,81ef22d3a3c4cc1d71d575ba9751f0d1a70964e0bb622148904151458a3cc374,81ef22d3a3c4,0.9429919724427189,0.9429919724427189,0.9736334351459179,0.047918483297573616,0.07721014320850372,-1075.9651872583906,-1065.5232704883647,0.07046026869693742,,0.10983826965093613,0.765523374080658,0.765523374080658,0.37634000182151794,0.37634000182151794
o1-mini,all,1,CoT,noisy_or,3,,lr0p1,c28960da883b99e59fbb7970687de865730cbf79c9213c5c096066f26799454b,c28960da883b,42edd2ef52c72789d79bcf840890026071bd67358c2ffe37b492590fcdcaa519,42edd2ef52c7,0.9414497779431059,0.9414497779431059,0.972053255248983,0.04875926760605923,0.07862374186515808,-1101.989796641626,-1091.5478798716001,0.0705758037353506,,0.10695111751556396,0.7770442962646484,0.7770442962646484,0.3861994743347168,0.3861994743347168
gpt-5-nano-v_low-r_low,all,1,CoT,noisy_or,4,,lr0p1,e8c06ea470fcc0dad1bf559645f9073ada2257616e08b5e75ceca90818bd9ec3,e8c06ea470fc,b8101c1923e5ca80e26c80120f3bb72a3c39912648d6db79b0b5cfdd1f50fa23,b8101c1923e5,0.9385499912104417,0.9385499912104417,0.9869267657022908,0.024690233408422944,0.09116747975349426,-960.4439317726824,-946.5213760793145,0.05352968008707157,,0.2611978352069855,0.6781895160675049,0.46264728903770447,0.4244750440120697,0.4244750440120697
o3-mini,all,1,CoT,noisy_or,3,,lr0p1,973fe997545e726ad18c0465022d3a79376629560b91df1cf0bfe59735a8c1cb,973fe997545e,a66e59c6209030c193ec9e91288ab1c789ef80bbfac147be68f0d2634707745e,a66e59c62090,0.9338989262458276,0.9338989262458276,0.9765191718885099,0.05095290418235883,0.08802106976509094,-1047.8910638505113,-1037.4491470804853,0.08549023190293668,,0.05914222449064255,0.8204243183135986,0.8204243183135986,0.33234548568725586,0.33234548568725586
claude-3-7-sonnet-20250219,all,1,CoT,noisy_or,3,,lr0p1,8a86426b42d1c8ce860d2fa63308254188e2a8ced0692994fa58fd2af9678d5e,8a86426b42d1,fa40344c3bd6e4ae334b12728e2ed5038b0b66c67d516cd7244fc565d8f57183,fa40344c3bd6,0.9303443130443239,0.9303443130443239,0.9687255819156149,0.05658706107723699,0.06492281705141068,-1164.8781056743524,-1154.4361889043264,0.08445022478490367,,0.07188529521226883,0.8059106469154358,0.8059106469154358,0.43914172053337097,0.43914172053337097
gpt-5-mini-v_low-r_low,all,1,CoT,noisy_or,3,,lr0p1,d94f4c3cf0af0418d4391024ebe60c9788561b0db81fce09d58b39eba5c92980,d94f4c3cf0af,478e6b4c02dd26ad66e2c43d82564edc3bc8e5b91795b3c74ff3e7ac765a6eab,478e6b4c02dd,0.9291363481331779,0.9291363481331779,0.9641724175235288,0.05636596289495985,0.07275108993053436,-1137.9852680932906,-1127.5810876698852,0.07927202326970673,,0.13187649846076965,0.8026033639907837,0.8026033639907837,0.4127791225910187,0.4127791225910187
gemini-1.5-pro,all,1,CoT,noisy_or,3,,lr0p1,7b8c8ea6f7cb2e40c4fef7d82b4c001c7c04cee15da7fa8fd9ab9788bd7ffe94,7b8c8ea6f7cb,4a9bb583f799d9808e16010cf979468693fa2fdc463bd378e40d08d6245b171f,4a9bb583f799,0.9286088213006267,0.9286088213006267,0.9730093054399215,0.049218285439565364,0.08951635658740997,-969.7260380737252,-959.2841213036993,0.08004638558302724,,0.14786487817764282,0.8131807446479797,0.8131807446479797,0.43751946091651917,0.43751946091651917
gpt-5-mini-v_low-r_medium,all,1,CoT,noisy_or,3,,lr0p1,3f625673fe7354b9e35dd9545d982e268c8a553282edc678d21ceebcdffec097,3f625673fe73,0052d279610a0f9e824663df4528daf7d74c8a5f562bbfd6791b7e467d03a67f,0052d279610a,0.920917230235065,0.920917230235065,0.9589923186610575,0.06464512145338859,0.07747337967157364,-1113.9470606049404,-1103.5302485839259,0.08977265808736754,,0.10673351585865021,0.8587483167648315,0.8587483167648315,0.41643327474594116,0.41643327474594116
gpt-4,all,1,CoT,noisy_or,3,,lr0p1,50b5dbe1a6126ea74bff4a4e1637b51d6adaa0fa2340d4b1e4aa4abb4a72de6f,50b5dbe1a612,673cd8b83475b489c97d043aaa66736393a827314a0f01fa004ae3d6b6cb3e17,673cd8b83475,0.9189538717141341,0.9189538717141341,0.9617121595767181,0.054918068178754234,0.08379661291837692,-1028.6992187221526,-1018.2573019521267,0.07990076779775217,,0.13624174892902374,0.7154191732406616,0.7154191732406616,0.42331525683403015,0.42331525683403015
gpt-5-mini-v_low-r_minimal,all,1,CoT,noisy_or,3,,lr0p1,fc86278ffa0ecf6fb7d7ee474b920822cb694b5346a603ab1083c3c5204ae960,fc86278ffa0e,9beb2e0f4fda4979e4582c568b914607e169bdf9450b0b2dbc01f77a7362041f,9beb2e0f4fda,0.9181092069517823,0.9181092069517823,0.9537616929272807,0.06031805687788623,0.07779855281114578,-1098.234912420583,-1087.792995650557,0.08027196947069469,,0.12913794815540314,0.7375789880752563,0.7375789880752563,0.3768964111804962,0.3768964111804962
claude-3-opus,all,1,CoT,noisy_or,3,,lr0p1,d299690c09dfeddbd5b2aaf9dca046b1c1b6cdf1f4fccba4bce5fbb06158d420,d299690c09df,52453f91910f9d6415182760ae220ccd9ae1a93aa95ad8551f60db59b9f8777b,52453f91910f,0.8409802277108873,0.8409802277108873,0.9080698561601336,0.06121453362116784,0.11644391715526581,-901.4442752213943,-891.0023584513683,0.08051024325863612,,0.23413459956645966,0.5363514423370361,0.5363514423370361,0.500508189201355,0.500508189201355
claude-3-5-haiku-20241022,all,1,CoT,noisy_or,3,,lr0p1,3d91557dab59e5c609d92145b7358fc2b60a6168d13be9bafbe193efee7074d2,3d91557dab59,d13903590ed5e05c22e3c2f9eacb61e0aad723f8c0f67f7955c8acb2bc3f9df2,d13903590ed5,0.8244014482643598,0.8244014482643598,0.8945778448364241,0.06642297478901953,0.152743399143219,-788.0930408156842,-777.6511240456582,0.08572605558679777,,0.20850180089473724,0.5463563799858093,0.5463563799858093,0.5766471028327942,0.5766471028327942
claude-3-haiku-20240307,all,1,CoT,noisy_or,3,,lr0p1,359751dfdeb938b1861084b58e6001207c17776394eb0ab37c4644f81af9e0b1,359751dfdeb9,e0b27cf0073dbef714484ea7e55098e56327799383ff9ee800d514927b6f24f1,e0b27cf0073d,0.758747381881079,0.758747381881079,0.8354235421592222,0.046013636930180596,0.1877124011516571,-701.4617636967359,-691.01984692671,0.05571071387220825,,0.5298296213150024,0.4328996539115906,0.4328996539115906,0.6934967637062073,0.6934967637062073
gpt-3.5-turbo,all,1,CoT,noisy_or,3,,lr0p1,e66a2f91f3855d5684d250f285d39abebe7c4cd64f728cd48f4439fb03f6eab7,e66a2f91f385,d7840c2c2da5299210d8ab35e15b26c596d9004c568325fb2496d62eb3156196,d7840c2c2da5,0.3966126369373505,0.3966126369373505,0.6125128561702773,0.08425298738532401,0.22104737162590027,-600.8348321274165,-590.3929153573905,0.10513680254011074,,0.6222278475761414,0.4891170561313629,0.4891170561313629,0.7337929606437683,0.7337929606437683
